name	drugbank-id	type	atc	cas	rxcui	unii	uniprot_kb	drugbank-id-2	synonyms	InChI
Thyrotropin alfa	DB00024	biotech	H01AB01	194100-83-9	4952	AVX3D5A4LM	P01225	BIOD00020 | BTD00020	Recombinant Human Thyroid Stimulating Hormone | Recombinant thyrotropin alfa | rhTSH | rTSH | Thyrotropin alfa | Thyrotropin alpha	
Antihemophilic factor, human recombinant	DB00025	biotech	B02BD02	139076-62-3	1300486	P89DR4NY54	P00451	BIOD00029 | BTD00029 | DB13162 | DBSALT002413	Antihemophilic factor (recombinant) | Antihemophilic factor recombinant | Antihemophilic factor, human recombinant | Antihemophilic factor, recombinant | Coagulation factor VIII, recombinant | Factor VIII (rDNA) | Factor VIII (Recombinant) | Factor VIII recombin | Factor VIII, recombinant | Human Factor VIII (Recombinant) | Human factor VIII recombinant | Octocog alfa | rAHF | Recombinant antihemophilic factor VIII	
Anakinra	DB00026	biotech	L04AC03	143090-92-0	72435	9013DUQ28K	P18510	BIOD00060 | BTD00060	Anakinra | IL-1RA | Interleukin-1 receptor antagonist anakinra	
Gramicidin D	DB00027	small molecule	R02AB30	1405-97-6	5011	5IE62321P4	P18510	BIOD00036 | BTD00036	Bacillus brevis gramicidin D | Gramicidin | Gramicidin A | Gramicidin B | Gramicidin C | Gramicidina | Gramicidine	NDAYQJDHGXTBJL-MWWSRJDJSA-N
Human immunoglobulin G	DB00028	biotech		308067-58-5	1426680	66Y330CJHS	P01877	BIOD00091 | BTD00091	Human IGG | Human immunoglobulin G | Human normal immunoglobulin | Immune globulin (human) | Immune globulin human | Immunoglobulin (human) | Immunoglobulin G (human) | Immunoglobulin G, human | IVIg	
Anistreplase	DB00029	biotech	B01AD03	81669-57-0	40028	5O8V541HJ6	P00750	BIOD00102 | BTD00102	Anisoylated plasminogen streptokinase activator complex | Anistreplase | APSAC	
Insulin human	DB00030	biotech	A10AC01	11061-68-0	253182	1Y17CTI5SR	Q8HXV2	BIOD00105 | BTD00105 | DB01383 | DB05215 | DB05278 | DB05283 | DB08914	High molecular weight insulin human | Human insulin | human insulin (rDNA) | Insulin (human) | Insulin human | Insulin human [rDNA origin] | Insulin Human Regular | Insulin human regular (rDNA) | Insulin human, rDNA origin | Insulin recombinant human | Insulin recombinant purified human | Insulin regular | Insulin, human | Insulina regular | Neutral insulin | Regular Insulin, human | Soluble insulin	
Tenecteplase	DB00031	biotech	B01AD11	191588-94-0	259280	WGD229O42W	P00750	BIOD00019 | BTD00019	Tenecteplasa | Tenecteplase | TNK-tPA	
Menotropins	DB00032	biotech	G03GA02	9002-68-0	259280	8FYM5179QJ	P01229	BIOD00018 | BTD00018	Human menopausal gonadotrophin | Menotrophin | Menotropin | Menotropina | Menotropins (FSH;LH)	
Interferon gamma-1b	DB00033	biotech		98059-61-1	5882	21K6M2I7AG	P01579	BIOD00017 | BTD00017	IFN-gamma 1b | IFN-gamma-1b | Interferon gamma 1-b | Interferon gamma-1b | Interferon gamma-1b, recombinant | Interferon gamma-2a	
Interferon alfa-2a	DB00034	biotech	L03AB04	76543-88-9	5879	47RRR83SK7	P01563	BIOD00012 | BIOD00095 | BTD00012 | BTD00095 | DB00037	Interferon alfa-2a | Interferon alfa-2a (genetical recombination) | Interferon alfa-2a (recombinant) | Interferon alfa-2a, recombinant | Interferon alfa-2a,recombinant | Interferon alpha-2a | Interferon-alfa-2a | Recombinant human interferon alfa-2a | Recombinant human interferon-alfa-2a | rIFN-alpha-2a | SH-polypeptide-46	
Desmopressin	DB00035	small molecule	H01BA02	16679-58-6	3251	ENR1LLB0FP	P01563	BIOD00061 | BIOD00112 | BTD00061 | BTD00112	1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-desamino-8-D-arginine vasopressin | dDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum	NFLWUMRGJYTJIN-PNIOQBSNSA-N
Coagulation factor VIIa Recombinant Human	DB00036	biotech	B02BD08	102786-61-8	253149	AC71R787OV	P08709	BIOD00006 | BTD00006	Coagulation factor VIIa | Coagulation factor VIIa (recombinant) | Coagulation factor VIIa (recombinant)-jncw | Eptacog alfa | Eptacog alfa (activated) | rFVIIa	
Oprelvekin	DB00038	biotech	L03AC02	145941-26-0	1311380	HM5641GA6F	P20809	BIOD00021 | BTD00021	IL-11 | Interleukin 11 | Interleukin-11 | Oprelvekin | Recombinant interleukin-11	
Palifermin	DB00039	biotech	V03AF08	162394-19-6	196319	QMS40680K6	P21781	BIOD00042 | BTD00042	24-163 fibroblast growth factor 7 (human) | Palifermin | Palifermina	
Glucagon	DB00040	biotech	H04AA01	16941-32-5	261716	76LA80IG2G	Q8MJ25	BIOD00057 | BTD00057	Glucagon | Glucagon (recombinant dna origin) | Glucagon recombinant | Glucagon, human | Glucagon, porcine | Glucagone | Glucagonum	
Aldesleukin	DB00041	biotech	L03AC01	110942-02-4	70223	M89N0Q7EQR	P60569	BIOD00082 | BTD00082	125-L-serine-2-133-interleukin 2 (human reduced) | Aldesleukin | Aldesleukina | ILT-101 | ILT101 | Interleukin-2 aldesleukin | Interleukin-2(2-133),125-ser | Recombinant human interleukin-2 | Recombinant interleukin-2 human	
Botulinum toxin type B	DB00042	biotech	M03AX01	93384-44-2	860178	0Y70779M1F	P10844	BIOD00070 | BTD00070	Botulin B | Botulinum antitoxin type B | Botulinum B toxin | Botulinum neurotoxin type B precursor | Botulinum toxin type B | BTX-B | RimabotulinumtoxinB | Toxina botulínica B	
Omalizumab	DB00043	biotech	R03DX05	242138-07-4	302379	2P471X1Z11	P01857	BIOD00081 | BTD00081	Omalizumab	
Lutropin alfa	DB00044	biotech	G03GA07	152923-57-4	388084	3JGY52XJNA	P01229	BIOD00056 | BTD00056	Lutropin alfa | Lutropin alpha | Lutropina alfa	
Lyme disease vaccine (recombinant OspA)	DB00045	biotech			54214	TA735GI14L	P14013	BIOD00054 | BTD00054	Lipoprotein OspA antigen recombinant | Lipoprotein outer surface a borrelia burgdorferi antigen | OspA lipoprotein	
Insulin lispro	DB00046	biotech	A10AC04	133107-64-9	314684	GFX7QIS1II	P14013	BIOD00065 | BTD00065 | DB01310	Insulin lispro | Insulin lispro (genetical recombination) | Insulin lispro (rDNA origin) | Insulin lispro protamine | Insulin lispro protamine recombinant | Insulin lispro recombinant | insulin lispro-aabc | Insulin,lispro,human/rDNA | Insulin,lispro,protamine/rDNA | Insulina lispro	
Insulin glargine	DB00047	biotech	A10AE54	160337-95-1	274783	2ZM8CX04RZ	P14013	BIOD00045 | BTD00045 | DB01308	Insulin glargine | Insulin glargine (rDNA origin) | Insulin glargine recombinant | insulin glargine-yfgn | Insulina glargina	
Collagenase clostridium histolyticum	DB00048	biotech	D03BA02	9001-12-1	58939	9X7O8V25IT	P14013	BIOD00010 | BTD00010 | DB11249	Clostridiopeptidase A | Clostridium histolyticum enzymes | Collagenase | Collagenase clostridium histolyticum | collagenase clostridium histolyticum-aaes	
Rasburicase	DB00049	biotech	V03AF07	134774-45-1	283821	08GY9K1EUO	Q00511	BIOD00090 | BTD00090	Rasburicasa | Rasburicase | Urate oxidase	
Cetrorelix	DB00050	small molecule	H01CC02	120287-85-6	68147	OON1HFZ4BA	Q00511	APRD00686 | BIOD00115 | BTD00115	Cetrorelix | Cetrorelixum	SBNPWPIBESPSIF-MHWMIDJBSA-N
Adalimumab	DB00051	biotech	L04AB04	331731-18-1	327361	FYS6T7F842	P01857	BIOD00049 | BTD00049	Adalimumab | Adalimumab (genetical recombination) | adalimumab-adaz | adalimumab-adbm | adalimumab-afzb | adalimumab-atto | adalimumab-bwwd | adalimumab-fkjp	
Somatotropin	DB00052	biotech	H01AC01	12629-01-5	314845	NQX9KB6PCL	P58756	BIOD00086 | BTD00086 | DB06417	Growth hormone | Growth hormone (human) | hGH | Human growth hormone | Recombinant human growth hormone | rhGH | Somatotropin (human) | Somatotropin human | Somatotropin human growth hormone | Somatropin | Somatropin (rDNA origin) | Somatropin (recombinant DNA origin) | Somatropin [rDNA origin] | Somatropin recombinant | Somatropin(recombinant DNA origin) | Somatropina	
Imiglucerase	DB00053	biotech	A16AB02	154248-97-2	84959	Q6U6J48BWY	P04062	BIOD00026 | BTD00026	Imiglucerasa | Imiglucerase	
Abciximab	DB00054	biotech	B01AC13	143653-53-6	83929	X85G7936GV	P04062	BIOD00041 | BTD00041	Abciximab | Abciximab (genetical recombination) | c7E3	
Drotrecogin alfa	DB00055	biotech	B01AD10	98530-76-8	352374	JGH8MYC891	P04070	BIOD00068 | BTD00068	Activated protein C | Blood coagulation factor XIV (human) | Drotrecogin alfa (activated) | Drotrecogin alfa (activated), lyophilized | Drotrecogin alfa activated | Drotrecogin alfa, activated | Drotrecogin-alfa | Recombinant human activated protein C (rH-APC)	
Gemtuzumab ozogamicin	DB00056	biotech	L01FX02	220578-59-6	1294580	8GZG754X6M	P04070	BIOD00077 | BTD00077	Gemtuzumab ozogamicin	
Indium In-111 satumomab pendetide	DB00057	biotech	V09IB02	138955-27-8	1294580	7V9926378A	P04070	BIOD00108 | BTD00108	Indium (111In) satumomab pendetide | Indium In 111 satumomab pendetide | Indium-111 satumomab pendetide	
Alpha-1-proteinase inhibitor	DB00058	biotech	B02AB02	9041-92-3	535	F43I396OIS	P01009	BIOD00002 | BTD00002	Alfa 1-proteinase inhibitor (human) | Alfa-1-antitripsina | Alfa1 antitrypsin | Alpha 1-antitrypsin | Alpha 1-Proteinase Inhibitor | Alpha 1-proteinase inhibitor (human) | Alpha 1-proteinase inhibitor, human | Alpha-1 protease inhibitor | Alpha-1 proteinase inhibitor (human) | Alpha-1-antiproteinase | Alpha-1-antitrypsin | Alpha-1-proteinase Inhibitor (human) | Alpha-1-proteinase inhibitor human | Alpha-1-proteinase Inhibitor, Human | Alpha-1-proteinase inhibitor,human | Alpha1-proteinase Inhibitor | Alpha1-proteinase inhibitor (human) | alpha1-proteinase inhibitor human | API	
Pegaspargase	DB00059	biotech	L01XX24	130167-69-0	34132	7D96IR0PPM	P37595	BIOD00079 | BTD00079	Peg-asparaginase | Peg/L-asparaginase | Pegaspargasa | Pegaspargase	
Interferon beta-1a	DB00060	biotech	L03AB07	145258-61-3	75917	XRO4566Q4R	P01574	BIOD00093 | BTD00093	Interferon beta 1-a | Interferon beta 1a | Interferon beta-1a | Interferon beta-1a (recombinant human) | Interferon beta-1a,recombinant | Interferon-beta-1a | SNG001	
Pegademase	DB00061	biotech	L03AX04	130167-68-9	59768	HW3H7D91F6	P56658	BIOD00100 | BTD00100	(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase | PEG-adenosine deaminase | pegADA | Pegademase | Pegademase bovine	
Albumin human	DB00062	biotech	B05AA01	9048-46-8	828529	ZIF514RVZR	P02768	BIOD00059 | BIOD00089 | BIOD00101 | BTD00059 | BTD00089 | BTD00101 | DB00064 | DB00096	Albumin (human) | Albumin human | Albumin, blood | Albumin, human | Albumin, human-kjda | Human albumin | Human serum albumin | Serum albumin	
Eptifibatide	DB00063	biotech	B01AC16	188627-80-7	75635	NA8320J834	P02768	BIOD00063 | BTD00063	Eptifibatida | Eptifibatide | Integrelin | Intrifiban	
Infliximab	DB00065	biotech	L04AB02	170277-31-3	1790539	B72HH48FLU	P01857	BIOD00004 | BTD00004	Infliximab | Infliximab (genetical recombination) | Infliximab-abda | Infliximab-axxq | Infliximab-dyyb | Infliximab-qbtx	
Follitropin	DB00066	biotech	G03GA06	146479-72-3	227518	2M2GGL7HUP	P01225	BIOD00064 | BIOD00099 | BTD00064 | BTD00099 | DB09024	Folitropina alfa | Folitropina beta | Folitropina delta | Follicle stimulating hormone | Follitrophin alfa | Follitrophin alpha | Follitrophin beta | Follitropin alfa | Follitropin alfa/beta | Follitropin alpha | Follitropin beta | Follitropin delta | Follitropin gamma | Follotropin recombinant | FSH | FSH alpha | FSH-a | FSH-b | FSH-beta | Recombinant human follicle stimulating hormone beta | Recombinant human follicle-stimulating hormone (r-HFSH) | rFSH-alpha	
Vasopressin	DB00067	small molecule		11000-17-2	11149	Y87Y826H08	P01225	BIOD00110 | BTD00110 | DB09392	Vasopressin, unspecified | Vasopressina	JLTCWSBVQSZVLT-UHFFFAOYSA-N
Interferon beta-1b	DB00068	biotech	L03AB08	145155-23-3	72258	TTD90R31WZ	P01574	BIOD00078 | BTD00078	Interferon beta 1b (recombinant) | Interferon beta-1b | Interferon beta-1b,recombinant | Interferon-beta-1b | Recombinant interferon beta-1b	
Interferon alfacon-1	DB00069	biotech	L03AB09	118390-30-0	59744	56588OP40D	P01574	BIOD00062 | BTD00062	IFN Alfacon-1 | IFN-Con1 | Interferon alfacon-1	
Hyaluronidase (ovine)	DB00070	biotech		488712-31-8	486164	64R4OHP8T0	P38567	BIOD00022 | BTD00022	Hyaluronidase (glycoprotein, sheep testis isoenzyme) | Hyaluronidase (ovine) | Hyaluronidase (sheep testis isoenzyme) | Hyaluronidase, ovine | Ovine hyaluronidase	
Insulin pork	DB00071	biotech	A10AC03	12584-58-6	221109	AVT680JB39	Q8HXV2	BIOD00031 | BTD00031	Insulin (pork) | Insulin porcine | Insulin purified porcine | Insulin purified pork | Insulin, porcine | Insulin, regular, pork | Porcine insulin	
Trastuzumab	DB00072	biotech	L01FD01	180288-69-1	224905	P188ANX8CK	P01857	BIOD00098 | BTD00098	RHUMAB HER2 | Trastuzumab | trastuzumab-anns | trastuzumab-dkst | trastuzumab-dttb | trastuzumab-pkrb | trastuzumab-qyyp	
Rituximab	DB00073	biotech	L01FA01	174722-31-7	121191	4F4X42SYQ6	P01857	BIOD00014 | BTD00014	Rituximab | rituximab-abbs | rituximab-arrx | rituximab-pvvr	
Basiliximab	DB00074	biotech	L04AC02	179045-86-4	196102	9927MT646M	P01857	BIOD00073 | BTD00073	Basiliximab	
Muromonab	DB00075	biotech	L04AA02	140608-64-6	42405	JGA39ICE2V	P01857	BIOD00005 | BTD00005	Anti-CD3 | Muromonab-CD3	
Digoxin Immune Fab (Ovine)	DB00076	biotech	V03AB24		1745257	YB12NQZ1YN	P01857	BIOD00027 | BIOD00046 | BTD00027 | BTD00046	Digitalis antitoxin | Digoxin Immune Fab, Ovine | Digoxin-specific Antibody Fragments | Ovine digoxin immune fab	
Ibritumomab tiuxetan	DB00078	biotech	V10XX02	206181-63-7	262323	4Q52C550XK	P01865	BIOD00069 | BTD00069	Ibritumomab | Ibritumomab tiuxetan | mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)	
Daptomycin	DB00080	small molecule	J01XX09	103060-53-3	22299	NWQ5N31VKK	P01865	BIOD00111 | BTD00111	Daptomicina | Daptomycin | Daptomycine | Daptomycinum	DOAKLVKFURWEDJ-QCMAZARJSA-N
Tositumomab	DB00081	biotech	V10XA53	208921-02-2	263010	0343IGH41U	P01857	BIOD00085 | BTD00085 | DB09557	Tositumomab	
Pegvisomant	DB00082	biotech	H01AX01	218620-50-9	278739	N824AOU5XV	P58756	BIOD00044 | BTD00044	Pegvisomant	
Botulinum toxin type A	DB00083	biotech	M03AX01	93384-43-1	1000104	E211KPY694	P10845	BIOD00092 | BTD00092	AbobotulinumtoxinA | Botulinum A neurotoxin | Botulinum antitoxin type A | Botulinum toxin A | Botulinum toxin type A | BTX-A | EvabotulinumtoxinA | IncobotulinumtoxinA | OnabotulinumtoxinA | Prabotulinumtoxin A | Toxina botulínica A | Toxine botulinique A	
Pancrelipase	DB00085	biotech	A09AA02	53608-75-6	235379	FQ3DRG0N5K	P04746	BIOD00067 | BTD00067 | DB05356	Pancrealipase | Pancreatic extract pancrelipase | Pancreatic protease | Pancreatin | Pancreatinum | Pancrelipase | Pancrelipase (amylase;lipase;protease)	
Streptokinase	DB00086	biotech	B01AD01	9002-01-1	10106	8X1OXL3SNU	P00779	BIOD00028 | BTD00028	Estreptoquinasa | Streptochinasi | Streptococcal fibrinolysin | Streptokinase | Streptokinasum	
Alemtuzumab	DB00087	biotech	L04AA34	216503-57-0	117055	3A189DH42V	P00779	BIOD00109 | BTD00109	Alemtuzumab	
Alglucerase	DB00088	biotech	A16AB01	143003-46-7	46049	27T56C7KK0	P04062	BIOD00037 | BTD00037	Alglucerase	
Capromab pendetide	DB00089	biotech	V09IB04	145464-28-4	136300	BDO5072GRX	P04062	BIOD00080 | BTD00080	(111In)-Capromab pendetide | Capromab pendetide | Indium (111In) capromab pendetide | Indium 111 Capromab Pendetide | Indium In 111 capromab pendetide	
Laronidase	DB00090	biotech	A16AB05	210589-09-6	392509	WP58SVM6R4	P35475	BIOD00008 | BTD00008	alpha-L-Idosiduronase | Human Recombinant alpha-L-iduronidase | Laronidasa | Laronidase | Laronidase (genetical recombination)	
Cyclosporine	DB00091	small molecule	L04AD01	59865-13-3	3008	83HN0GTJ6D	P35475	BIOD00003 | BTD00003	Ciclosporin | Ciclosporina | Ciclosporine | Ciclosporinum | CsA | CyA | Cyclosporin | Cyclosporin A | Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
Alefacept	DB00092	biotech	L04AA15	222535-22-0	299635	ELK3V90G6C	P35475	BIOD00055 | BTD00055	Alefacept	
Felypressin	DB00093	biotech		56-59-7	4319	17N2918V6G	P35475	BIOD00114 | BTD00114	2-(L-phenylalanine)-8-L-lysinevasopressin | Felipresina | Felypressin | Felypressine | Felypressinum | PLV-2	
Urofollitropin	DB00094	biotech	G03GA04	97048-13-0	134404	W9BB98U6HP	P01225	BIOD00104 | BTD00104	Follitropin human | Urofollitrophin | Urofollitropin	
Efalizumab	DB00095	biotech	L04AA21	214745-43-4	356988	XX2MN88N5D	P01225	BIOD00074 | BTD00074	anti-CD11a | antiCD11 alpha | Efalizumab	
Choriogonadotropin alfa	DB00097	biotech	G03GA08	177073-44-8	283550	6413W06WR3	P01233	BIOD00034 | BTD00034	Choriogonadotropin alfa | Choriogonadotropin alpha | Chorionic gonadotropin (recombinant)	
Antithymocyte immunoglobulin (rabbit)	DB00098	biotech	L04AA04	308067-60-9	107044	D7RD81HE4W	P01233	BIOD00040 | BTD00040	Anti-human thymocyte immunoglobulin, rabbit | Anti-T-lymphocyte immune globulin, rabbit | Anti-thymocyte globulin (rabbit) | Anti-thymocyte globulin rabbit | Antithymocyte immunoglobulin | Lapine T-lymphocyte immune globulin | Rabbit anti-human thymocyte globulin | Rabbit anti-human thymocyte globulin (rATG) | Rabbit anti-human thymocyte immunoglobulin | Rabbit anti-thymocyte immunoglobulin | Rabbit antithymocyte globulin | Rabbit ATG | rATG | Thymoglobulin | Thymoglobuline	
Filgrastim	DB00099	biotech	L03AA02	121181-53-1	1433764	PVI5M0M1GW	P09919	BIOD00072 | BTD00072 | DB09560	Filgrastim | Filgrastim-aafi | Filgrastim-sndz | G-CSF  | Granulocyte Colony Stimulating Factor  | Tbo-filgrastim	
Coagulation Factor IX (Recombinant)	DB00100	biotech		181054-95-5	1300488	382L14738L	P00740	BIOD00038 | BTD00038	Coagulation factor IX (recombinant) | Coagulation factor IX recombinant human | Coagulation factor IX, recombinant | Factor IX (Recombinant) | nonacog alfa | nonacog gamma | Recombinant factor IX	
Becaplermin	DB00102	biotech	D03AX06	165101-51-9	115238	1B56C968OA	P01127	BIOD00053 | BTD00053	Becaplermin | PDGF-2 | PDGF-BB | PDGFB | Platelet-derived growth factor BB, recombinant | Platelet-derived growth factor beta polypeptide | Recombinant platelet-derived growth factor BB | rhPDGF-BB | rPDGF-BB | SH-POLYPEPTIDE-59	
Agalsidase beta	DB00103	biotech	A16AB04		338817	RZD65TSM9U	P06280	BIOD00075 | BTD00075	Agalsidasa beta | Agalsidase beta | Agalsidase beta (genetical recombination)	
Octreotide	DB00104	biotech	H01CB02	83150-76-9	7617	RWM8CCW8GP	P06280	BIOD00088 | BTD00088	Octreotida | Octreotide | Octreotidum | Octrotide	
Interferon alfa-2b	DB00105	biotech	L03AB05	98530-12-2	5880	43K1W2T1M6	P01563	BIOD00066 | BTD00066 | DB05600	Interferon alfa-2b | Interferon alfa-2b, recombinant | Interferon alpha-2B | Interferon α-2b | Intron (Interferon α2b) | Intron A | Intron A (Interferon α2b) | r-INF-alpha | rIFN-alpha-2b	
Abarelix	DB00106	small molecule	L02BX01	183552-38-7	301739	W486SJ5824	P01563	BIOD00051 | BTD00051	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
Oxytocin	DB00107	biotech	G02AC01	50-56-6	7824	1JQS135EYN	P01563	BIOD00016 | BTD00016	Oxitocina | Oxytocin	
Natalizumab	DB00108	biotech	L04AA23	189261-10-7	354770	3JB47N2Q2P	P01563	BIOD00083 | BTD00083	Anti-alpha4 integrin | Anti-VLA4 | Natalizumab	
Enfuvirtide	DB00109	biotech	J05AX07	159519-65-0	139896	19OWO1T3ZE	Q70626	BIOD00106 | BTD00106	Enfuvirtida | Enfuvirtide	
Palivizumab	DB00110	biotech	J06BD01	188039-54-5	194279	DQ448MW7KS	Q70626	BIOD00097 | BTD00097	Palivizumab	
Daclizumab	DB00111	biotech	L04AC01	152923-56-3	190353	CUJ2MVI71Y	P01857	BIOD00007 | BTD00007	Dacliximab | Daclizumab | Daclizumab beta	
Bevacizumab	DB00112	biotech	L01FG01	216974-75-3	253337	2S9ZZM9Q9V	P01857	BIOD00087 | BTD00087	Anti-VEGF Humanized Monoclonal Antibody | Anti-VEGF monoclonal antibody | Bevacizumab | bevacizumab-awwb | rhuMAb-VEGF	
Technetium Tc-99m arcitumomab	DB00113	biotech	V09IA06	154361-49-6	230435	029JF1SCU8	P01857	BIOD00107 | BTD00107	Arcitumomab technetium-99m | Technetium (99mTc) arcitumomab | Technetium Tc 99m arcitumomab | Technetium-99m arcitumomab	
