umls_cid	meddra_id	name
C0000880	10069408	Acanthamoeba keratitis
C0000880	10074137	Acanthameba keratitis
C0000887	10058820	Acantholysis
C0000889	10000350	Acanthosis nigricans
C0000912	10072097	Fire accident
C0000924	10000369	Accident
C0000924	10000377	Accident NOS
C0000928	10001535	Aircraft accident
C0000929	10000375	Accident household
C0000929	10013591	Domestic accident
C0000930	10021727	Industrial accident
C0000932	10044332	Traffic accident
C0001075	10000451	Achlorhydria
C0001075	10000455	Achylia gastrica
C0001079	10066122	Achondrogenesis
C0001080	10000452	Achondroplasia
C0001080	10000453	Achondroplastic dwarf
C0001122	10000486	Acidosis
C0001122	10000493	Acidosis NOS
C0001125	10023676	Lactic acidosis
C0001125	10000491	Acidosis lactic
C0001126	10038535	Renal tubular acidosis
C0001126	10000494	Acidosis renal tubular
C0001126	10038353	Renal acidosis tubular
C0001126	10039248	RTA
C0001127	10038661	Respiratory acidosis
C0001127	10000495	Acidosis respiratory
C0001127	10038660	Respiratory acidoses
C0001139	10051894	Acinetobacter infection
C0001144	10000519	Acne vulgaris
C0001145	10051699	Acne keloid
C0001145	10051701	Keloidal folliculitis
C0001163	10000521	Acoustic nerve disorder NOS
C0001163	10013292	Disorders of acoustic nerve
C0001163	10003788	Auditory nerve disorders
C0001163	10047408	VIIIth cranial nerve disorders
C0001169	10000534	Acquired coagulation factor deficiency
C0001170	10000536	Acquired deformities of auricle or pinna
C0001171	10000541	Acquired deformity of chest and rib
C0001175	10000565	Acquired immunodeficiency syndrome
C0001175	10048476	Acquired immunodeficiency syndrome NOS
C0001175	10052740	Acquired immunodeficiency syndromes
C0001175	10001509	AIDS
C0001175	10000562	Acquired immune deficiency syndr
C0001175	10000563	Acquired immune deficiency syndrome
C0001175	10003813	Autoimmune deficiency syndrome
C0001175	10000566	Acquired immunodeficiency syndrome, unspecified
C0001175	10000564	Acquired immuno deficiency syndrome
C0001193	10002943	Apert's syndrome
C0001197	10000593	Acrodermatitis
C0001198	10000598	Acrodynia
C0001198	10050259	Erythredema polyneuropathy
C0001198	10050264	Feer's disease
C0001198	10013115	Disease pink
C0001198	10050262	Swift disease
C0001198	10050260	Bilderbeck's disease
C0001198	10050263	Swift-Feer disease
C0001198	10050261	Selter's disease
C0001206	10000599	Acromegaly
C0001231	10014146	Ectopic ACTH syndrome
C0001231	10014156	Ectopic corticotropin syndrome
C0001231	10014155	Ectopic corticotrophin syndrome
C0001261	10000620	Actinomycosis
C0001261	10000624	Actinomycotic infection of unspecified site
C0001261	10000626	Actinomycotic infections
C0001261	10000627	Actinomycotic infectious disorders
C0001263	10000621	Actinomycotic abdominal infection
C0001263	10000049	Abdominal actinomycotic infection
C0001264	10008337	Cervicofacial actinomycotic infection
C0001265	10000623	Actinomycotic infection of other specified sites
C0001306	10000649	Acute alcoholic hepatitis
C0001308	10000670	Acute and subacute necrosis of liver
C0001309	10000681	Acute atopic conjunctivitis
C0001311	10000686	Acute bronchiolitis
C0001317	10000736	Acute erythremia and erythroleukemia
C0001317	10000735	Acute erythraemia and erythroleukaemia
C0001327	10000823	Acute laryngitis
C0001327	10023875	Laryngitis (acute)
C0001327	10023876	Laryngitis acute NOS
C0001339	10033647	Pancreatitis acute
C0001339	10000971	Acute pancreatitis
C0001342	10001000	Acute periodontitis
C0001344	10001002	Acute pharyngitis
C0001349	10048998	Acute phase reaction
C0001355	10001050	Acute renal failure with other specified pathological lesion in kidney
C0001360	10043780	Thyroiditis acute
C0001360	10001092	Acute thyroiditis
C0001361	10001093	Acute tonsillitis
C0001361	10044009	Tonsillitis acute NOS
C0001363	10001108	Acute vascular insufficiency of intestine
C0001364	10070815	Acute yellow liver atrophy
C0001364	10003695	Atrophy acute yellow liver
C0001365	10001111	Acute, but ill-defined, cerebrovascular disease
C0001396	10042074	Stokes-Adams syndrome
C0001396	10042073	Stokes Adams syndrome
C0001396	10001115	Adams-Stokes syndrome
C0001396	10001114	Adams Stokes syndrome
C0001396	10001112	Adam-Stokes syndrome
C0001396	10042785	Syndrome Adams-Stokes
C0001396	10042850	Syndrome Stokes-Adams
C0001396	10027972	Morgagni-Adam's Stokes syndrome
C0001396	10001113	Adams Stokes attack
C0001396	10027971	Morgagni's disease
C0001396	10041473	Spens' syndrome
C0001403	10001130	Addison's disease
C0001403	10013096	Disease Addison's
C0001403	10052381	Primary adrenal insufficiency
C0001403	10036696	Primary hypoadrenalism
C0001416	10001137	Adenitis
C0001418	10001141	Adenocarcinoma
C0001418	10001166	Adenocarcinoma NOS
C0001422	10072991	Adenofibroma
C0001425	10001230	Adenoidectomy
C0001427	10051223	Adenoiditis
C0001429	10070460	Adenolymphoma
C0001429	10074291	Papillary cystadenoma lymphomatosum
C0001429	10074288	Warthin's tumor
C0001429	10074292	Warthin's tumour
C0001430	10001231	Adenoma
C0001430	10001236	Adenoma NOS
C0001430	10001233	Adenoma benign
C0001430	10001234	Adenoma benign NOS
C0001485	10001263	Adenovirus infection in conditions classified elsewhere and of unspecified site
C0001486	10060931	Adenovirus infection
C0001486	10001264	Adenovirus infection NOS
C0001510	10060932	Postoperative adhesion
C0001510	10048548	Adhesions NOS postoperative
C0001511	10059837	Adhesion
C0001519	10020353	Holmes-Adie syndrome
C0001529	10001294	Adiposis dolorosa
C0001529	10012421	Dercum's disease
C0001539	10001297	Adjustment disorder with depressed mood
C0001540	10001298	Adjustment disorder with disturbance of conduct
C0001540	10001309	Adjustment reaction with predominant disturbance of conduct
C0001541	10001300	Adjustment disorder with mixed disturbance of emotion and conduct
C0001541	10001306	Adjustment reaction with mixed disturbance of emotions and conduct
C0001546	10001301	Adjustment disorders
C0001546	10001295	Adjustment disorder NOS
C0001546	10061621	Adjustment disorder
C0001548	10001305	Adjustment reaction with brief depressive reaction
C0001577	10001317	Adnexitis
C0001577	10046762	Uterine adnexitis
C0001578	10001318	Adolescence
C0001593	10001322	Adoption
C0001621	10045767	Unspecified disorder of adrenal glands
C0001621	10045839	Unspecified disorders of adrenal glands
C0001621	10001347	Adrenal disorder
C0001621	10001348	Adrenal disorder NOS
C0001621	10013186	Disorder adrenal (NOS)
C0001621	10001353	Adrenal gland disorders
C0001621	10013293	Disorders of adrenal glands
C0001622	10020564	Hyperadrenocorticism
C0001622	10020562	Hyperadrenalism
C0001622	10001332	Adrenal cortex hyperfunction
C0001622	10020609	Hypercorticism adrenal
C0001622	10001365	Adrenal hypercorticism
C0001622	10020612	Hypercortisonism
C0001622	10020611	Hypercortisolism
C0001622	10001341	Adrenal cortical hyperfunctions
C0001622	10020561	Hyperadrenalcorticalism
C0001622	10020563	Hyperadrenocorticalism
C0001622	10020610	Hypercorticoidism
C0001623	10022460	Insufficiency adrenal
C0001623	10001367	Adrenal insufficiency
C0001623	10001369	Adrenal insufficiency NOS
C0001623	10020936	Hypoadrenalism
C0001623	10001366	Adrenal hypofunction
C0001623	10020979	Hypofunction adrenal
C0001624	10028981	Neoplasm adrenal
C0001624	10061588	Adrenal neoplasm
C0001624	10001375	Adrenal neoplasm NOS
C0001624	10001376	Adrenal neoplasms
C0001627	10010323	Congenital adrenal hyperplasia
C0001632	10061622	Adrenalectomy
C0001632	10001386	Adrenalectomy NOS
C0001678	10001405	Adult maltreatment syndrome
C0001707	10001431	Aerophagy
C0001707	10052813	Aerophagia
C0001707	10001533	Air swallowing
C0001707	10037185	Psychogenic aerophagia
C0001723	10001448	Affective psychoses
C0001723	10001450	Affective psychosis
C0001723	10037235	Psychosis affective
C0001723	10045620	Unspecified affective psychosis
C0001723	10001451	Affective psychosis, unspecified
C0001727	10056245	Afferent loop syndrome
C0001733	10001453	Afibrinogenemia
C0001733	10052651	Afibrinogenaemia
C0001733	10016075	Factor I deficiency
C0001733	10012130	Deficiency factor I
C0001762	10001463	After images
C0001768	10001471	Agammaglobulinemia
C0001768	10001470	Agammaglobulinaemia
C0001807	10062375	Aggressive behavior
C0001807	10001490	Aggressive behaviour
C0001807	10001494	Aggressiveness
C0001807	10001488	Aggression
C0001816	10048663	Agnosia
C0001818	10001502	Agoraphobia
C0001818	10016279	Fear of open spaces
C0001819	10001505	Agoraphobia without mention of panic attacks
C0001819	10001504	Agoraphobia without a history of panic disorder
C0001824	10001507	Agranulocytosis
C0001824	10018687	Granulocytopenia
C0001825	10001508	Agraphia
C0001849	10065040	AIDS dementia complex
C0001849	10001516	AIDS-dementia complex
C0001849	10012277	Dementia due to HIV disease
C0001849	10001510	AIDS dementia
C0001849	10001523	AIDS-related dementia
C0001849	10020196	HIV-related dementia
C0001857	10001513	AIDS related complex
C0001857	10003076	ARC
C0001857	10000567	Acquired immunodeficiency syndrome-related complex, unspecified
C0001860	10001524	Ainhum
C0001882	10001532	Air sickness
C0001883	10001536	Airway obstruction NOS
C0001883	10001539	Airways obstruction
C0001889	10001542	Akinetic mutism
C0001889	10063030	Coma vigil
C0001906	10001555	Alastrim
C0001916	10001557	Albinism
C0001925	10001580	Albuminuria
C0001940	10001593	Alcohol amnestic syndrome
C0001940	10023490	Korsakov's psychosis, alcoholic
C0001940	10056424	Korsakoff's psychosis alcoholic
C0001940	10023486	Korsakoff's psychosis (alcoholic)
C0001948	10048921	Alcohol use
C0001948	10049180	Alcohol product use
C0001950	10021249	Idiosyncratic alcohol intoxication
C0001950	10034154	Pathological drunkenness
C0001957	10001610	Alcohol withdrawal delirium
C0001957	10012225	Delirium tremens
C0001969	10001599	Alcohol intoxication
C0001969	10013768	Drunkenness
C0001973	10001639	Alcoholism
C0001973	10001594	Alcohol dependence syndrome
C0001973	10063499	Alcohol abuse, continuous drinking behaviour
C0001973	10001586	Alcohol abuse, continuous drinking behavior
C0001973	10013037	Dipsomania
C0001973	10049894	Chronic alcoholism
C0001973	10001585	Alcohol abuse chronic
C0001973	10001590	Alcohol addiction
C0002018	10001663	Alexia
C0002019	10001664	Alexia and dyslexia
C0002063	10001680	Alkalosis
C0002063	10001687	Alkalosis NOS
C0002064	10038664	Respiratory alkalosis
C0002064	10001688	Alkalosis respiratory
C0002064	10038663	Respiratory alkaloses
C0002066	10001689	Alkaptonuria
C0002103	10003644	Atopic rhinitis
C0002103	10039086	Rhinitis allergic atopic
C0002104	10001725	Allergic rhinitis due to other allergen
C0002170	10001760	Alopecia
C0002170	10001769	Alopecias
C0002170	10004082	Baldness
C0002170	10019045	Hair loss
C0002170	10019050	Hair thinning
C0002170	10001768	Alopecia, unspecified
C0002171	10001761	Alopecia areata
C0002173	10056506	Follicular mucinosis
C0002173	10056538	Alopecia mucinosa
C0002181	10001765	Alopecia syphilitic
C0002181	10042898	Syphilitic alopecia
C0002182	10069923	Traction alopecia
C0002312	10001802	Alpha thalassemia
C0002312	10001817	Alpha-thalassemia
C0002312	10001802	Alpha thalassaemia
C0002312	10001817	Alpha-thalassaemia
C0002312	10043390	Thalassaemia alpha
C0002312	10054659	Thalassemia alpha
C0002390	10015887	Extrinsic allergic alveolitis
C0002390	10001891	Alveolitis extrinsic allergic
C0002390	10001890	Alveolitis allergic
C0002390	10035743	Pneumonitis allergic
C0002390	10035754	Pneumonitis hypersensitivity
C0002390	10045623	Unspecified allergic alveolitis and pneumonitis
C0002390	10004068	Baggasosis
C0002393	10057973	Alveoloplasty
C0002395	10001896	Alzheimer's disease
C0002395	10012271	Dementia Alzheimer's type
C0002395	10012292	Dementia of the Alzheimer's type NOS
C0002418	10001906	Amblyopia
C0002418	10001911	Amblyopia NOS
C0002418	10001915	Amblyopia, unspecified
C0002419	10001914	Amblyopia tobacco
C0002419	10043904	Tobacco amblyopia
C0002419	10041224	Smoker's blindness
C0002438	10001916	Amebiasis
C0002438	10001980	Amoebiasis
C0002438	10001917	Amebiasis NOS
C0002438	10001982	Amoebiasis NOS
C0002438	10001918	Amebiasis, unspecified
C0002438	10001983	Amoebiasis, unspecified
C0002438	10001981	Amoebic infections
C0002438	10001981	Amebic infections
C0002447	10001926	Amelia
C0002448	10066796	Ameloblastoma
C0002453	10001927	Amenorrhea
C0002453	10001929	Amenorrhea NOS
C0002453	10001928	Amenorrhoea
C0002453	10001929	Amenorrhoea NOS
C0002453	10000326	Absence of menstruation
C0002453	10027319	Menses lack of
C0002514	10021602	Inborn errors of amino acid metabolism
C0002514	10013294	Disorders of amino-acid transport and metabolism
C0002514	10045768	Unspecified disorder of amino-acid metabolism
C0002514	10001938	Amino acid metabolism disorder
C0002514	10045769	Unspecified disorder of amino-acid transport and metabolism
C0002622	10001949	Amnesia
C0002623	10036308	Post-traumatic amnesia
C0002624	10038965	Retrograde amnesia
C0002625	10061423	Amnestic disorder
C0002625	10001952	Amnestic disorder NOS
C0002625	10001954	Amnestic disorders
C0002625	10001957	Amnestic syndrome
C0002627	10001958	Amniocentesis
C0002631	10021844	Infection of amniotic cavity
C0002631	10001968	Amniotic cavity infection NOS
C0002631	10060937	Amniotic cavity infection
C0002631	10051242	Amnionitis
C0002631	10021847	Infection of amniotic cavity, unspecified as to episode of care
C0002632	10001964	Amnioscopy
C0002636	10064100	Amniotic band syndrome
C0002688	10061627	Amputation
C0002688	10002010	Amputation NOS
C0002689	10071564	Limb amputation
C0002691	10000243	Above knee amputation
C0002691	10002009	Amputation above knee
C0002692	10004227	Below knee amputation
C0002694	10061385	Traumatic amputation
C0002694	10044477	Traumatic amputation NOS
C0002726	10002022	Amyloidosis
C0002726	10002023	Amyloidoses
C0002726	10002024	Amyloidosis NOS
C0002726	10002021	Amyloid disease
C0002736	10002026	Amyotrophic lateral sclerosis
C0002736	10052889	ALS
C0002753	10002116	Anal and rectal polyp
C0002758	10002166	Anal or rectal pain
C0002766	10056350	Pain management
C0002769	10054891	Epidural analgesia
C0002792	10002218	Anaphylaxis
C0002792	10002199	Anaphylactic shock
C0002792	10002198	Anaphylactic reaction
C0002792	10069526	Allergic shock
C0002792	10042931	Systemic anaphylaxis
C0002792	10042930	Systemic anaphylactic reaction
C0002831	10002255	Ancylostomiasis
C0002871	10002272	Anemia
C0002871	10002034	Anaemia
C0002871	10002071	Anaemia NOS
C0002871	10002071	Anemia NOS
C0002871	10002315	Anemia, unspecified
C0002871	10045627	Unspecified anemia
C0002871	10002082	Anaemia, unspecified
C0002871	10055742	Unspecified anaemia
C0002873	10054310	Anemia of chronic disease
C0002873	10002073	Anaemia of chronic disease
C0002874	10002274	Anemia aplastic
C0002874	10002969	Aplastic anemia
C0002874	10002967	Aplastic anaemia
C0002874	10002037	Anaemia aplastic
C0002874	10002968	Aplastic anaemia, unspecified
C0002874	10002970	Aplastic anemia, unspecified
C0002875	10055203	Cooley's anemia
C0002875	10010928	Cooley's anaemia
C0002875	10054661	Thalassemia major
C0002875	10043392	Thalassaemia major
C0002878	10019493	Hemolytic anemia
C0002878	10055193	Anemia hemolytic
C0002878	10018916	Haemolytic anaemia
C0002878	10002045	Anaemia haemolytic
C0002878	10018921	Haemolytic anaemia NOS
C0002878	10002284	Anemia hemolytic (NOS)
C0002878	10019494	Hemolytic anemia (NOS)
C0002878	10018921	Hemolytic anemia NOS
C0002879	10055191	Acquired hemolytic anemia
C0002879	10055207	Hemolytic anemia acquired
C0002879	10000554	Acquired hemolytic anemias
C0002879	10000549	Acquired haemolytic anaemia
C0002879	10000551	Acquired haemolytic anaemias
C0002879	10018917	Haemolytic anaemia acquired
C0002879	10000550	Acquired haemolytic anaemia, unspecified
C0002879	10000553	Acquired hemolytic anemia, unspecified
C0002880	10003825	Autoimmune hemolytic anemia
C0002880	10073784	Anemia hemolytic autoimmune
C0002880	10003826	Autoimmune hemolytic anemias
C0002880	10073785	Autoimmune haemolytic anaemia
C0002880	10003822	Autoimmune haemolytic anaemia NOS
C0002880	10003822	Autoimmune hemolytic anemia NOS
C0002880	10002046	Anaemia haemolytic autoimmune
C0002880	10003823	Autoimmune haemolytic anaemias
C0002880	10002285	Anemia hemolytic autoimmune (NOS)
C0002881	10055202	Congenital hemolytic anemia
C0002881	10010489	Congenital haemolytic anaemia NOS
C0002881	10010489	Congenital hemolytic anemia NOS
C0002881	10073793	Congenital haemolytic anaemia
C0002881	10054399	Hereditary hemolytic anemia
C0002881	10019886	Hereditary hemolytic anemias
C0002881	10060893	Hereditary haemolytic anaemia
C0002881	10019880	Hereditary haemolytic anaemia NOS
C0002881	10019880	Hereditary hemolytic anemia NOS
C0002881	10019882	Hereditary haemolytic anaemias
C0002881	10019881	Hereditary haemolytic anaemia, unspecified
C0002881	10019885	Hereditary hemolytic anemia, unspecified
C0002884	10020971	Hypochromic anemia
C0002884	10002293	Anemia hypochromic
C0002884	10002060	Anaemia hypochromic
C0002884	10020969	Hypochromic anaemia
C0002886	10025381	Macrocytic anemia
C0002886	10002297	Anemia macrocytic
C0002886	10074043	Macrocytic anaemia
C0002886	10002064	Anaemia macrocytic
C0002886	10025380	Macrocytic anaemia NOS
C0002886	10025380	Macrocytic anemia NOS
C0002888	10027129	Megaloblastic anemia
C0002888	10002298	Anemia megaloblastic
C0002888	10074044	Megaloblastic anaemia
C0002888	10027128	Megaloblastic anaemia NOS
C0002888	10027128	Megaloblastic anemia NOS
C0002888	10002065	Anaemia megaloblastic
C0002890	10002296	Anemia leukoerythroblastic
C0002890	10054446	Leukoerythroblastic anemia
C0002890	10053199	Leukoerythroblastic anaemia
C0002890	10024281	Leucoerythroblastic anaemia
C0002890	10024281	Leucoerythroblastic anemia
C0002890	10002063	Anaemia leukoerythroblastic
C0002890	10024383	Leukoerythroblastosis
C0002891	10002300	Anemia neonatal
C0002891	10002068	Anaemia neonatal
C0002892	10034697	Pernicious anemia
C0002892	10002075	Anemia pernicious
C0002892	10034695	Pernicious anaemia
C0002892	10002075	Anaemia pernicious
C0002892	10034696	Pernicious anaemia NOS
C0002892	10034696	Pernicious anemia NOS
C0002892	10001129	Addison's anemia
C0002892	10055713	Addison's anaemia
C0002892	10055192	Addisonian pernicious anemia
C0002892	10001134	Addisonian pernicious anaemia
C0002892	10062829	Anaemia pernicious type
C0002892	10002308	Anemia pernicious type
C0002892	10055711	Addison-Biermer anaemia
C0002892	10001131	Addison-Biermer anemia
C0002892	10055712	Addisonian anaemia
C0002892	10001132	Addisonian anemia
C0002893	10038273	Refractory anemia
C0002893	10038269	Refractory anaemia
C0002893	10002311	Anemia refractory
C0002893	10055722	Anaemia refractory
C0002894	10037803	RAEB
C0002894	10038270	Refractory anaemia with an excess of blasts
C0002894	10054592	Refractory anemia with an excess of blasts
C0002895	10040653	Sickle-cell anemia
C0002895	10054629	Sickle cell anemia
C0002895	10055200	Anemia sickle cell
C0002895	10040641	Sickle cell anaemia
C0002895	10002077	Anaemia sickle cell
C0002895	10040652	Sickle-cell anaemia
C0002895	10040644	Sickle cell disease
C0002895	10040645	Sickle cell disease NOS
C0002895	10055741	Sickle-cell anaemia, unspecified
C0002895	10040654	Sickle-cell anemia, unspecified
C0002895	10040646	Sickle cell disorders
C0002896	10040663	Sideroblastic anemia
C0002896	10002312	Anemia sideroblastic
C0002896	10040661	Sideroblastic anaemia
C0002896	10040662	Sideroblastic anaemia NOS
C0002896	10040662	Sideroblastic anemia NOS
C0002896	10002078	Anaemia sideroblastic
C0002897	10054314	Anemia splenic
C0002897	10049009	Anaemia splenic
C0002899	10002085	Anaemias due to disorders of glutathione metabolism
C0002899	10002316	Anemias due to disorders of glutathione metabolism
C0002902	10002320	Anencephaly
C0002902	10002318	Anencephalus
C0002902	10002317	Anencephalia
C0002903	10067564	Anaesthesia procedure
C0002903	10068084	Anesthesia procedure
C0002903	10002321	Anesthesia
C0002903	10002091	Anaesthesia
C0002903	10002097	Anaesthesia NOS
C0002903	10002097	Anesthesia NOS
C0002913	10054375	Epidural anesthesia
C0002913	10015011	Epidural anaesthesia
C0002915	10002323	Anesthesia general
C0002915	10018061	General anesthesia
C0002915	10073800	Anaesthesia general
C0002915	10018060	General anaesthesia
C0002915	10017570	GA
C0002921	10024758	Local anesthesia
C0002921	10002325	Anesthesia local
C0002921	10024758	Local anaesthesia
C0002921	10002095	Anaesthesia local
C0002921	10024760	Local anesthetic
C0002921	10024759	Local anaesthetic
C0002921	10023522	LA
C0002928	10041538	Spinal anesthesia
C0002928	10041536	Spinal anaesthesia
C0002928	10041537	Spinal anaesthesia (all forms)
C0002928	10041537	Spinal anesthesia (all forms)
C0002940	10002329	Aneurysm
C0002940	10002360	Aneurysm of unspecified site
C0002945	10002353	Aneurysm of other specified artery
C0002945	10002354	Aneurysm of other specified site
C0002949	10061660	Artery dissection
C0002949	10051009	Artery NOS dissection
C0002950	10058017	Infective aneurysm
C0002957	10002368	Anger
C0002962	10002383	Angina pectoris
C0002962	10002372	Angina
C0002962	10002391	Anginal pain
C0002962	10041972	Stenocardia
C0002962	10002393	Anginal syndrome
C0002962	10056259	Ischemic chest pain
C0002962	10056256	Ischaemic chest pain
C0002962	10002387	Angina syndrome
C0002962	10054224	Anginal discomfort
C0002963	10036759	Prinzmetal angina
C0002963	10046974	Variant angina
C0002963	10067790	Vasospastic angina
C0002965	10046251	Unstable angina
C0002965	10002388	Angina unstable
C0002965	10022554	Intermediate coronary syndrome
C0002965	10002385	Angina pectoris unstable
C0002965	10011378	Crescendo angina
C0002965	10002375	Angina at rest
C0002965	10002389	Angina worsened
C0002978	10061637	Angiogram
C0002978	10002437	Angiogram NOS
C0002978	10050062	Angiography
C0002978	10002446	Angiograph
C0002979	10065324	Digital subtraction angiography
C0002979	10057788	Digital substraction angiography
C0002982	10066191	Angioid streaks
C0002983	10002448	Angioid streaks of choroid
C0002985	10061639	Angiokeratoma
C0002985	10052166	Angiokeratoma NOS
C0002986	10016016	Fabry's disease
C0002986	10002458	Angiokeratoma corporis diffusum universale
C0002986	10071118	Alpha galactosidase A deficiency
C0002991	10012494	Dermatofibroma
C0002994	10002424	Angioedema
C0002994	10002425	Angioedemas
C0002994	10014212	Edema angioneurotic
C0002994	10002471	Angioneurotic edema
C0002994	10002473	Angioneurotic oedema
C0002994	10055912	Oedema angioneurotic
C0002994	10037734	Quincke's edema
C0002994	10037735	Quincke's oedema
C0002994	10055936	Oedema Quincke's
C0002994	10014254	Edema Quincke's
C0002994	10018259	Giant urticaria
C0002994	10046744	Urticaria giant
C0002994	10020198	Hives giant
C0002994	10018257	Giant hives
C0002994	10002426	Angioedema and urticaria
C0002994	10002394	Angio-edema
C0002994	10002395	Angio-oedema
C0003028	10002512	Anhidrosis
C0003028	10002513	Anhydrosis
C0003044	10002515	Animal bite
C0003044	10002516	Animal bite NOS
C0003076	10002532	Aniridia
C0003076	10002531	Anirida
C0003078	10002534	Aniseikonia
C0003079	10002535	Anisocoria
C0003079	10037538	Pupils unequal
C0003079	10045522	Unequal pupils
C0003079	10037517	Pupil unequal
C0003081	10002537	Anisometropia
C0003089	10002557	Ankylosing spondylitis and other inflammatory spondylopathies
C0003090	10002559	Ankylosis
C0003090	10023198	Joint ankylosis
C0003090	10002566	Ankylosis of joint
C0003090	10002571	Ankylosis of joint, site unspecified
C0003099	10074066	Anniversary reaction
C0003110	10002605	Anomalies of relationship of jaw to cranial base
C0003110	10045630	Unspecified anomaly of relationship of jaw to cranial base
C0003113	10002638	Anomia
C0003113	10054098	Amnesic aphasia
C0003113	10054097	Dysnomia
C0003113	10029503	Nominal aphasia
C0003113	10002950	Aphasia nominal
C0003113	10054194	Amnestic aphasia
C0003113	10070079	Nominal dysphasia
C0003119	10002640	Anophthalmos
C0003119	10002639	Anophthalmia
C0003119	10009298	Clinical anophthalmos, unspecified
C0003123	10002646	Anorexia
C0003123	10052625	Anorectic
C0003123	10002651	Anorexic
C0003125	10002649	Anorexia nervosa
C0003126	10002653	Anosmia
C0003126	10041217	Smell loss
C0003126	10024877	Loss of smell
C0003128	10002658	Anovulation
C0003128	10033311	Ovulation failure
C0003130	10002660	Anoxia
C0003132	10050750	Anoxic encephalopathy
C0003132	10002663	Anoxic brain damage
C0003164	10050363	Anthracosilicosis
C0003165	10073051	Anthracosis
C0003165	10009804	Coal workers' pneumoconiosis
C0003165	10009803	Coal miner's pneumoconiosis
C0003175	10002713	Anthrax
C0003175	10002716	Anthrax, unspecified
C0003175	10003975	Bacillus anthraces infection
C0003177	10011660	Cutaneous anthrax
C0003431	10002822	Antisocial personality disorder
C0003431	10002821	Antisocial personality
C0003431	10037218	Psychopathic personality
C0003431	10041261	Sociopathic personality
C0003431	10013455	Dissocial personality disorder
C0003431	10037217	Psychopath
C0003431	10041260	Sociopath
C0003431	10003473	Asocial personality
C0003460	10002847	Anuria
C0003460	10046550	Urinary output arrest of
C0003460	10003113	Arrest of urinary output
C0003460	10046641	Urine formation failure of
C0003460	10016160	Failure of urine formation
C0003462	10002852	Anus disorder
C0003462	10013189	Disorder anus
C0003462	10002151	Anal disorder NOS
C0003463	10002164	Anal neoplasm NOS
