drugbank-id,assoc_cond
DB09096,Acne Vulgaris
DB09526,Acne Vulgaris
DB11085,Acne Vulgaris
DB12447,Acne Vulgaris
DB12499,Acne Vulgaris
DB12808,Acne Vulgaris
DB06412,Acquired Aplastic Anemia
DB00935,Acquired Blepharoptosis
DB13148,Acquired Coagulation Factor Deficiency
DB13152,Acquired Coagulation Factor Deficiency
DB13968,Acquired Coagulation Factor Deficiency
DB14545,Acquired hemolytic anemias
DB01284,Acquired hemolytic jaundice
DB00443,Acquired immune hemolytic anemia
DB00635,Acquired immune hemolytic anemia
DB00741,Acquired immune hemolytic anemia
DB00860,Acquired immune hemolytic anemia
DB01234,Acquired immune hemolytic anemia
DB01380,Acquired immune hemolytic anemia
DB14644,Acquired immune hemolytic anemia
DB06081,Acquired Thrombotic Thrombocytopenic Purpura (aTTP)
DB00082,Acromegaly
DB00104,Acromegaly
DB00125,Acromegaly
DB01200,Acromegaly
DB06663,Acromegaly
DB06791,Acromegaly
DB09099,Acromegaly
DB00855,Actinic Cheilitis
DB00724,Actinic Keratoses of the face
DB00855,Actinic Keratoses of the face
DB06137,Actinic Keratoses of the face
DB00724,Actinic Keratoses of the scalp
DB00855,Actinic Keratoses of the scalp
DB06137,Actinic Keratoses of the scalp
DB00544,Actinic Keratosis (AK)
DB00586,Actinic Keratosis (AK)
DB00936,Actinic Keratosis (AK)
DB05013,Actinic Keratosis (AK)
DB08818,Actinic Keratosis (AK)
DB09152,Actinic Keratosis (AK)
DB00855,Actinic Keratosis (AK) of the Upper Extremity
DB00992,Actinic Keratosis of Face and Scalp
DB00417,Actinomycosis
DB00618,Actinomycosis
DB00759,Actinomycosis
DB01053,Actinomycosis
DB16217,Activated PI3 kinase delta syndrome
DB06674,Active Ankylosing spondylitis
DB08895,Active Ankylosing spondylitis
DB08904,Active Ankylosing spondylitis
DB09029,Active Ankylosing spondylitis
DB11569,Active Ankylosing spondylitis
DB15091,Active Ankylosing spondylitis
DB00242,"Active confirmed by clinical features, confirmed by imaging features relapsing multiple sclerosis (MS)"
DB00364,Active Duodenal ulcer
DB00448,Active Duodenal ulcer
DB00501,Active Duodenal ulcer
DB00863,Active Duodenal ulcer
DB00927,Active Gastric ulcer
DB11569,Active Non-radiographic Axial Spondyloarthritis
DB15091,Active Non-radiographic Axial Spondyloarthritis
DB06674,Active Polyarticular Juvenile Idiopathic Arthritis (pJIA)
DB05676,Active Psoriatic arthritis
DB05679,Active Psoriatic arthritis
DB06674,Active Psoriatic arthritis
DB08904,Active Psoriatic arthritis
DB09029,Active Psoriatic arthritis
DB11569,Active Psoriatic arthritis
DB14762,Active Psoriatic arthritis
DB15091,Active Psoriatic arthritis
DB05259,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB06650,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB08908,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB11850,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB11988,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB12016,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB12612,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB14783,Active Secondary Progressive Multiple Sclerosis (SPMS)
DB06168,Active systemic Juvenile idiopathic arthritis
DB06273,Active systemic Juvenile idiopathic arthritis
DB08879,Active Systemic Lupus Erythematosus
DB00339,Active Tuberculosis
DB00609,Active Tuberculosis
DB00951,Active Tuberculosis
DB01201,Active Tuberculosis
DB13417,Active Tuberculosis
DB00073,"Active, Moderate to Severe Rheumatoid Arthritis"
DB14845,"Active, Moderate to Severe Rheumatoid Arthritis"
DB06764,"Active, Symptomatic Blepharitis"
DB14633,Acute Adrenal Insufficiency
DB00246,Acute Agitation
DB00334,Acute Agitation
DB00408,Acute Agitation
DB00829,Acute Agitation
DB00628,Acute Alcohol Withdrawal
DB01069,Acute Allergic Reactions
DB00411,Acute angle-closure glaucoma
DB00703,Acute angle-closure glaucoma
DB00819,Acute angle-closure glaucoma
DB01085,Acute angle-closure glaucoma
DB00086,Acute Arterial Thromboembolism
DB00586,Acute Arthritis
DB06794,Acute atopic conjunctivitis
DB05311,Acute attack of hereditary angioedema
DB06404,Acute attack of hereditary angioedema
DB09228,Acute attack of hereditary angioedema
DB14597,Acute attack of hereditary angioedema
DB15982,Acute attack of hereditary angioedema
DB06404,Acute attack of hereditary angioedema of the Abdomen
DB06404,Acute attack of hereditary angioedema of the face
DB06404,Acute attack of hereditary angioedema of the Larynx
DB00978,Acute Bacterial Conjunctivitis
DB00978,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01066,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01112,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01150,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01155,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01165,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01211,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01415,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01416,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB)
DB01137,Acute Bacterial Exacerbation of Chronic Bronchitis (ABECB) caused by susceptible bacteria
DB00207,"Acute bacterial exacerbation of COPD caused by Haemophilus Influenza Infections, Moraxella Catarrhalis Infection, Streptococcus Pneumoniae Infections"
DB00207,Acute Bacterial Sinusitis (ABS)
DB01060,Acute Bacterial Sinusitis (ABS)
DB01137,Acute bacterial sinusitis caused by susceptible bacteria
DB11892,Acute bacterial sinusitis caused by susceptible bacteria
DB06219,Acute Bacterial Skin and Skin Structure Infection (ABSSSI)
DB06590,Acute Bacterial Skin and Skin Structure Infection (ABSSSI)
DB09042,Acute Bacterial Skin and Skin Structure Infection (ABSSSI)
DB11943,Acute Bacterial Skin and Skin Structure Infection (ABSSSI)
DB12455,Acute Bacterial Skin and Skin Structure Infection (ABSSSI)
DB14569,Acute Bacterial Skin and Skin Structure Infection (ABSSSI)
DB00736,Acute benign gastric ulcers
DB09300,Acute biliary spasm
DB09222,Acute bleeding episodes
DB00297,Acute Bursitis
DB00620,Acute Bursitis
DB00635,Acute Bursitis
DB00741,Acute Bursitis
DB00860,Acute Bursitis
DB00959,Acute Bursitis
DB14669,Acute Bursitis
DB00377,Acute chemotherapy-induced nausea and vomiting
DB09048,Acute chemotherapy-induced nausea and vomiting
DB06717,Acute Chemotherapy-Induced Nausea and Vomiting (CINV) caused by highly emetogenic chemotherapy
DB00067,Acute Circulatory Failure
DB00669,Acute Cluster headaches
DB01400,Acute Colonic Pseudo-Obstruction
DB00130,Acute Complications of Sickle Cell Disease
DB00175,Acute Coronary Events
DB00063,Acute Coronary Syndrome (ACS)
DB00758,Acute Coronary Syndrome (ACS)
DB00945,Acute Coronary Syndrome (ACS)
DB01225,Acute Coronary Syndrome (ACS)
DB00635,Acute Crohn's Disease (CD)
DB00452,Acute Crusting Rhinitis
DB00698,Acute Cystitis
DB00766,Acute Cystitis
DB00235,Acute Decompensated Heart Failure (ADHF)
DB00922,Acute Decompensated Heart Failure (ADHF)
DB04899,Acute Decompensated Heart Failure (ADHF)
DB00922,Acute Decompensation of Chronic Heart Failure
DB14019,Acute delayed Nausea caused by cancer chemotherapy
DB00673,Acute delayed Nausea caused by highly emetogenic cancer chemotherapy
DB14019,Acute delayed Nausea caused by highly emetogenic cancer chemotherapy
DB14019,Acute delayed Vomiting caused by cancer chemotherapy
DB14019,Acute delayed Vomiting caused by highly emetogenic cancer chemotherapy
DB01574,Acute Diarrhea
DB11074,Acute Diarrhea
DB11696,Acute Diarrhea
DB13654,Acute Diarrhea
DB13855,Acute Diarrhea
DB00395,Acute Discomfort
DB01141,Acute disseminated Candidiasis
DB00927,Acute Duodenal Ulcers
DB00424,Acute Enterocolitis
DB00475,Acute Enterocolitis
DB00771,Acute Enterocolitis
DB13844,Acute Enterocolitis
DB00332,Acute Exacerbation of Asthma
DB13843,Acute Exacerbation of Asthma
DB00218,Acute Exacerbation of Chronic Bronchitis (AECB)
DB00535,Acute Exacerbation of Chronic Bronchitis (AECB)
DB00954,Acute Exacerbation of Chronic Bronchitis (AECB)
DB01223,Acute Exacerbation of Chronic Bronchitis (AECB)
DB00440,Acute Exacerbation of Chronic Bronchitis (AECB) caused by susceptible bacteria
DB01015,Acute Exacerbation of Chronic Bronchitis (AECB) caused by susceptible bacteria
DB00535,Acute exacerbation of chronic bronchitis caused by Haemophilus parainfluenzae
DB00535,Acute Exacerbation of Chronic Bronchitis caused by Streptococcus Pneumoniae
DB00671,Acute Exacerbation of Chronic Bronchitis caused by Streptococcus Pneumoniae
DB00833,Acute Exacerbation of Chronic Bronchitis caused by Streptococcus Pneumoniae
DB00635,Acute Exacerbation of Chronic Obstructive Pulmonary Disease
DB11892,Acute Exacerbation of Chronic Obstructive Pulmonary Disease caused by susceptible bacteria
DB01624,Acute Exacerbation of Psychosis
DB13256,Acute Exacerbation of Psychosis
DB00535,Acute Exacerbations of Chronic Bronchitis caused by Haemophilus Influenza
DB00833,Acute Exacerbations of Chronic Bronchitis caused by Haemophilus Influenza
DB00671,Acute Exacerbations of Chronic Bronchitis caused by Haemophilus Influenzae
DB00535,Acute Exacerbations of Chronic Bronchitis caused by Moraxella catarrhalis
DB00537,Acute Exacerbations of Chronic Bronchitis caused by Moraxella catarrhalis
DB00833,Acute Exacerbations of Chronic Bronchitis caused by Moraxella catarrhalis
DB01501,Acute exacerbations of functional diarrhea
DB12975,Acute Falciparum Malaria
DB00062,Acute fulminant liver failure
DB15955,Acute Gastroenteritis
DB09300,Acute gastrointestinal spasms
DB00787,Acute Genital herpes
DB09300,Acute genitourinary spasms
DB00297,Acute Gouty Arthritis
DB00316,Acute Gouty Arthritis
DB00328,Acute Gouty Arthritis
DB00443,Acute Gouty Arthritis
DB00586,Acute Gouty Arthritis
DB00620,Acute Gouty Arthritis
DB00635,Acute Gouty Arthritis
DB00741,Acute Gouty Arthritis
DB00788,Acute Gouty Arthritis
DB00860,Acute Gouty Arthritis
DB00939,Acute Gouty Arthritis
DB00959,Acute Gouty Arthritis
DB01234,Acute Gouty Arthritis
DB01284,Acute Gouty Arthritis
DB01285,Acute Gouty Arthritis
DB01380,Acute Gouty Arthritis
DB08981,Acute Gouty Arthritis
DB14545,Acute Gouty Arthritis
DB14644,Acute Gouty Arthritis
DB14669,Acute Gouty Arthritis
DB00552,Acute Graft-Versus-Host Disease (GVHD)
DB01281,Acute Graft-Versus-Host Disease (GVHD)
DB08877,Acute Graft-Versus-Host Disease (GVHD)
DB00303,Acute Gynecological Infection
DB00325,Acute Heart Failure (AHF)
DB00922,Acute Heart Failure (AHF)
DB13401,Acute Heart Failure (AHF)
DB13387,Acute Hepatic Porphyria (AHP)
DB15066,Acute Hepatic Porphyria (AHP)
DB09298,Acute Hepatitis
DB00787,Acute Herpes labialis
DB00787,Acute Herpetic keratitis
DB01004,Acute Herpetic keratitis
DB06775,Acute Hyperammonaemia
DB00561,Acute Hypercapnia
DB12751,Acute Hypokalemia
DB00297,Acute Idiopathic Nephrotic Syndrome
DB00028,Acute Idiopathic Thrombocytopenic Purpura
DB14633,Acute Idiopathic Thrombocytopenic Purpura
DB07565,Acute infection caused by Salmonella typhi
DB00945,Acute Inflammation
DB06784,Acute inflammatory lesions
DB14550,Acute inflammatory lesions
DB00477,Acute Intermittent Porphyria (AIP)
DB00254,Acute Intestinal amebiasis
DB00618,Acute Intestinal amebiasis
DB00916,Acute Intestinal amebiasis
DB01421,Acute Intestinal amebiasis
DB00009,Acute Ischemic Stroke
DB00635,Acute Leukemia
DB00741,Acute Leukemia
DB00860,Acute Leukemia
DB00959,Acute Leukemia
DB01234,Acute Leukemia
DB01380,Acute Leukemia
DB00697,Acute Low Back Pain
DB00297,Acute Lupus Erythematosus
DB00023,Acute Lymphoblastic Leukaemias (ALL)
DB00059,Acute Lymphoblastic Leukaemias (ALL)
DB00531,Acute Lymphoblastic Leukaemias (ALL)
DB00694,Acute Lymphoblastic Leukaemias (ALL)
DB00773,Acute Lymphoblastic Leukaemias (ALL)
DB01033,Acute Lymphoblastic Leukaemias (ALL)
DB01254,Acute Lymphoblastic Leukaemias (ALL)
DB08886,Acute Lymphoblastic Leukaemias (ALL)
DB08901,Acute Lymphoblastic Leukaemias (ALL)
DB00020,Acute Lymphoblastic Leukemia (ALL)
DB00309,Acute Lymphoblastic Leukemia (ALL)
DB00541,Acute Lymphoblastic Leukemia (ALL)
DB00563,Acute Lymphoblastic Leukemia (ALL)
DB00987,Acute Lymphoblastic Leukemia (ALL)
DB00997,Acute Lymphoblastic Leukemia (ALL)
DB01204,Acute Lymphoblastic Leukemia (ALL)
DB14730,Acute Lymphoblastic Leukemia (ALL)
DB12975,Acute Malaria caused by plasmodium vivax
DB00564,Acute Mania
DB00734,Acute Mania
DB14507,Acute Mania
DB00246,Acute Manic episode
DB00313,Acute Manic episode
DB00334,Acute Manic episode
DB00734,Acute Manic episode
DB01068,Acute Manic episode
DB01224,Acute Manic episode
DB01238,Acute Manic episode
DB01356,Acute Manic episode
DB01624,Acute Manic episode
DB06216,Acute Manic episode
DB14509,Acute Manic episode
DB00535,Acute maxillary sinusitis
DB01211,Acute maxillary sinusitis
DB01416,Acute maxillary sinusitis
DB00535,Acute maxillary sinusitis caused by H. influenzae
DB00535,Acute maxillary sinusitis caused by M. catarrhalis
DB00535,Acute maxillary sinusitis caused by Susceptible strains of Streptococcus pneumoniae
DB06782,Acute Mercury poisoning
DB00433,Acute Migraine
DB00465,Acute Migraine
DB00586,Acute Migraine
DB00669,Acute Migraine
DB00788,Acute Migraine
DB01424,Acute Migraine
DB15688,Acute Migraine
DB00952,Acute Migraine without aura
DB06725,Acute mild to moderate pain
DB00246,Acute Mixed manic depressive episode
DB00531,Acute monocytic leukemia
DB00297,Acute Multiple sclerosis
DB00620,Acute Multiple sclerosis
DB00635,Acute Multiple sclerosis exacerbation
DB00959,Acute Multiple sclerosis exacerbation
DB09543,Acute Muscle Pain
DB15785,Acute Muscle Pain
DB00586,Acute Musculoskeletal injury
DB00316,Acute Musculoskeletal Pain
DB00586,Acute Musculoskeletal Pain
DB08984,Acute Musculoskeletal Pain
DB00056,Acute Myeloid Leukemia
DB00531,Acute Myeloid Leukemia
DB00773,Acute Myeloid Leukemia
DB00928,Acute Myeloid Leukemia
DB00987,Acute Myeloid Leukemia
DB00997,Acute Myeloid Leukemia
DB01030,Acute Myeloid Leukemia
DB01177,Acute Myeloid Leukemia
DB01204,Acute Myeloid Leukemia
DB06595,Acute Myeloid Leukemia
DB11581,Acute Myeloid Leukemia
DB11978,Acute Myeloid Leukemia
DB14568,Acute Myeloid Leukemia
DB00694,Acute Myeloid Leukemia With Myelodysplasia-Related Changes
DB00987,Acute Myeloid Leukemia With Myelodysplasia-Related Changes
DB00015,Acute Myocardial Infarction (AMI)
DB00086,Acute Myocardial Infarction (AMI)
DB00722,Acute Myocardial Infarction (AMI)
DB00758,Acute Myocardial Infarction (AMI)
DB13166,Acute Myocardial Infarction (AMI)
DB01225,Acute Myocardial Infarction With ST Segment Elevation
DB00835,Acute nasopharyngitis
DB00352,Acute Non-Lymphocytic Leukemia
DB00831,Acute non-psychotic Anxiety
DB00297,Acute nonspecific tenosynovitis
DB00443,Acute nonspecific tenosynovitis
DB00959,Acute nonspecific tenosynovitis
DB06774,Acute nonspecific tenosynovitis
DB08984,Acute nonspecific tenosynovitis
DB14669,Acute nonspecific tenosynovitis
DB15764,Acute nonspecific tenosynovitis
DB15774,Acute nonspecific tenosynovitis
DB11242,Acute Normovolemic Hemodilution
DB00537,Acute Otitis Externa
DB00741,Acute Otitis Externa
DB01234,Acute Otitis Externa
DB03166,Acute Otitis Externa
DB09047,Acute Otitis Externa
DB00537,Acute Otitis Externa caused by Pseudomonas Aeruginosa
DB09552,Acute Otitis Externa caused by Pseudomonas Aeruginosa
DB00537,Acute otitis externa caused by Staphylococcus aureus
DB00207,Acute Otitis Media (AOM)
DB00263,Acute Otitis Media (AOM)
DB00281,Acute Otitis Media (AOM)
DB00537,Acute Otitis Media (AOM)
DB00591,Acute Otitis Media (AOM)
DB01060,Acute Otitis Media (AOM)
DB01165,Acute Otitis Media (AOM)
DB01234,Acute Otitis Media (AOM)
DB01415,Acute Otitis Media (AOM)
DB01416,Acute Otitis Media (AOM)
DB00781,Acute Otitis Media (AOM)
DB00199,Acute Otitis Media caused by Haemophilus Influenzae
DB00359,Acute Otitis Media caused by Haemophilus Influenzae
DB14033,Acute Otitis Media caused by Haemophilus Influenzae
DB00535,Acute otitis media caused by M. catarrhalis
DB00535,Acute otitis media caused by S.pneumoniae
DB00440,Acute Otitis Media caused by susceptible bacteria
DB01015,Acute Otitis Media caused by susceptible bacteria
DB00193,Acute Pain
DB00201,Acute Pain
DB00296,Acute Pain
DB00395,Acute Pain
DB00482,Acute Pain
DB00708,Acute Pain
DB00749,Acute Pain
DB00956,Acute Pain
DB01050,Acute Pain
DB04743,Acute Pain
DB15465,Acute Pain
DB00356,Acute painful musculoskeletal conditions
DB12831,Acute Pancreatitis
DB01165,Acute Pelvic inflammatory disease
DB00199,Acute pelvic inflammatory disease caused by Neisseria Gonorrheae Infection
DB03404,Acute Porphyria
DB01019,Acute post-operative Urinary retention
DB00922,Acute post-surgical heart failure
DB00563,Acute Promyelocytic Leukemia
DB00987,Acute Promyelocytic Leukemia
DB01033,Acute Promyelocytic Leukemia
DB01169,Acute Promyelocytic Leukemia
DB01204,Acute Promyelocytic Leukemia
DB00567,Acute Prostatitis
DB12710,Acute Psychotic Symptoms
DB00695,Acute Pulmonary Edema
DB00569,Acute Pulmonary Embolism (PE)
DB01137,Acute Pyelonephritis caused by Infection Due to Escherichia Coli
DB00062,Acute Pyelonephritis(APN)
DB06715,Acute radiation sickness
DB00075,Acute Renal Allograft Rejection
DB00135,Acute Renal Dysfunction
DB03229,Acute Renal Dysfunction
DB15832,Acute Renal Dysfunction
DB00150,Acute Renal Failure (ARF)
DB00742,Acute Renal Failure (ARF)
DB01164,Acute Renal Failure (ARF)
DB00443,Acute rheumatic carditis
DB00635,Acute rheumatic carditis
DB00741,Acute rheumatic carditis
DB00959,Acute rheumatic carditis
DB01234,Acute rheumatic carditis
DB01380,Acute rheumatic carditis
DB14545,Acute rheumatic carditis
DB14644,Acute rheumatic carditis
DB01053,Acute Rheumatic Fever
DB01284,Acute Rheumatic Fever
DB00297,"Acute Rheumatic heart disease, unspecified"
DB00620,"Acute Rheumatic heart disease, unspecified"
DB00860,"Acute Rheumatic heart disease, unspecified"
DB00424,Acute Rhinitis
DB00874,Acute Rhinitis
DB00935,Acute Rhinitis
DB01114,Acute Rhinitis
DB01625,Acute Rhinitis
DB06151,Acute Rhinitis
DB06764,Acute Rhinitis
DB08801,Acute Rhinitis
DB11386,Acute Rhinitis
DB16623,Acute Rhinitis
DB00452,Acute rhino-sinusitis
DB11386,Acute rhino-sinusitis
DB00391,Acute Schizophrenia
DB01624,Acute Schizophrenia
DB06288,Acute Schizophrenia
DB14633,Acute Severe Asthma
DB00328,Acute Shoulder Pain
DB01401,Acute Shoulder Pain
DB00537,Acute Sinusitis
DB01208,Acute Sinusitis
DB01415,Acute Sinusitis
DB01416,Acute Sinusitis
DB08801,Acute Sinusitis
DB11386,Acute Sinusitis
DB09084,Acute Sore Throat
DB01086,Acute Sore Throat Pain
DB00605,Acute Subacromial bursitis
DB00939,Acute Subacromial bursitis
DB00605,Acute supraspinatus tendinitis
DB00620,Acute Tenosynovitis
DB00741,Acute Tenosynovitis
DB00860,Acute Tenosynovitis
DB13714,Acute Tonsillitis
DB00316,Acute Torticollis
DB01415,Acute Tracheobronchitis
DB01416,Acute Tracheobronchitis
DB00244,Acute Ulcerative Colitis
DB13772,Acute Uncomplicated Bacterial Cystitis
DB09274,Acute Uncomplicated Plasmodium Falciparum Malaria
DB00537,Acute Uncomplicated Pyelonephritis
DB00766,Acute Uncomplicated Pyelonephritis
DB09321,Acute Wounds
DB00922,"Acute, chronic Decompensated Heart Failure"
DB14539,"Acute, Inflammatory Superficial Cutaneous Lesions caused by susceptible bacteria"
DB08976,"Acute, mild Pain"
DB00465,"Acute, moderate Pain"
DB00497,"Acute, moderate Pain"
DB08976,"Acute, moderate Pain"
DB00303,"Acute, moderate Pelvic Infections caused by susceptible bacteria"
DB00193,"Acute, moderate, severe Pain"
DB00586,"Acute, moderate, severe Pain, Inflammatory"
DB01233,"Acute, recurrent Diabetic Gastroparesis"
DB14033,"Acute, recurrent Urinary Tract Infection caused by Klebsiella Enterobacter, Staphylococcus, Proteus mirabilis, Proteus vulgaris, Escherichia Coli"
DB13973,"Acute, refractory Graft Versus Host Disease"
DB00368,"Acute, severe Hypotension"
DB00303,"Acute, severe susceptible bacteria Pelvic Infections"
DB00569,"Acute, superficial, symptomatic Vein Thrombosis"
DB13962,"Acute, symptomatic Hypocalcemia"
DB00537,"Acute, uncomplicated Cystitis caused by Escherichia coli"
DB00537,"Acute, uncomplicated Cystitis caused by Staphylococcus saprophyticus"
DB01060,"Acute, uncomplicated Gonorrhea"
DB01165,"Acute, uncomplicated Gonorrhea"
DB06614,"Acute, uncomplicated Influenza"
DB13997,"Acute, uncomplicated Influenza"
DB00608,"Acute, uncomplicated Malaria"
DB01117,"Acute, uncomplicated Malaria caused by plasmodium falciparum"
DB01131,"Acute, uncomplicated Malaria caused by plasmodium falciparum"
DB01299,"Acute, uncomplicated Malaria caused by plasmodium falciparum"
DB06697,"Acute, uncomplicated Malaria caused by plasmodium falciparum"
DB01064,Adams-Stokes attacks
DB12159,Add-on therapy
DB00848,Adenocarcinoma of Colon
DB00531,Adenocarcinoma of the Ovaries
DB04572,Adenocarcinoma of the Ovaries
DB00061,Adenosine Deaminase Deficiency
DB01069,Adjunct to anesthesia and analgesia therapy
DB00297,Adrenal cortical hypofunctions
DB00443,Adrenal cortical hypofunctions
DB01234,Adrenal cortical hypofunctions
DB01380,Adrenal cortical hypofunctions
DB14539,Adrenal cortical hypofunctions
DB00741,Adrenal Insufficiency
DB01284,Adrenal Insufficiency
DB01234,Adrenocortical Hyperfunction
DB01380,Adrenocortical Hyperfunction
DB00052,Adult Onset Growth Hormone Deficiency
DB13074,Adult Onset Growth Hormone Deficiency
DB06168,Adult Onset Still's Disease
DB00531,Advanced Alibert-Bazin syndrome
DB00570,Advanced Alibert-Bazin syndrome
DB00783,Advanced androgen dependent Prostate cancer
DB00515,Advanced Bladder cancer
DB00958,Advanced Bladder cancer
DB01229,Advanced Bladder cancer
DB00014,Advanced Breast Cancer
DB00947,Advanced Breast Cancer
DB01006,Advanced Breast Cancer
DB01217,Advanced Breast Cancer
DB06374,Advanced Breast Cancer
DB09073,Advanced Breast Cancer
DB11730,Advanced Breast Cancer
DB00073,Advanced Burkitt Lymphoma (BL)
DB00073,Advanced Burkitt-like lymphoma
DB01590,Advanced Carcinoid tumor
DB00014,Advanced carcinoma of the prostate
DB04839,Advanced carcinoma of the prostate
DB09381,Advanced carcinoma of the prostate
DB00958,Advanced Cervical Cancer
DB01229,Advanced Cervical Cancer
DB00293,Advanced Colorectal Cancer
DB00526,Advanced Colorectal Cancer
DB00650,Advanced Colorectal Cancer
DB11596,Advanced Colorectal Cancer
DB00073,Advanced Diffuse Large B-Cell Lymphoma (DLBCL)
DB00363,Advanced dopaminomimetic psychosis
DB00958,Advanced Endometrial Cancer
DB00997,Advanced Endometrial Cancer
DB09037,Advanced Endometrial Cancer
DB09074,Advanced Epithelial Ovarian Cancer
DB11793,Advanced Epithelial Ovarian Cancer
DB06192,Advanced Epithelial Tumor of the Head and Neck
DB09035,Advanced Esophageal Adenocarcinoma
DB00650,Advanced Esophageal Cancers
DB00958,Advanced Esophageal Cancers
DB09074,Advanced Fallopian Tube Carcinoma
DB11793,Advanced Fallopian Tubes Cancer
DB09035,Advanced Gastric Carcinoma
DB05578,Advanced Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma
DB09035,Advanced Gastroesophageal Junction Adenocarcinoma
DB14840,Advanced Gastrointestinal Stromal Tumor (GIST)
DB00958,Advanced Head and Neck Cancer
DB01229,Advanced Head and Neck Cancer
DB06192,Advanced Head and Neck Cancer
DB00773,Advanced Hodgkin's Lymphoma
DB13956,Advanced Hormone Dependent Prostate Cancer
DB11853,Advanced Hormone Sensitive Prostate Cancer
DB00073,Advanced Mature B-cell type acute leukaemia
DB00851,Advanced Medullary thyroid cancer
DB00853,Advanced Melanoma
DB00958,Advanced Melanoma
DB09037,Advanced Microsatellite Instability High Endometrial Carcinoma
