diseaseId	diseaseName	type	MeSH_tree_number	MeSH_heading
C0020097	HTLV-I Infections	group	C01	   Infections
C0013505	Echinococcosis, Pulmonary	disease	C01	   Infections
C1260880	Rhinorrhea	phenotype	C01	   Infections
C0686709	Meningococcal conjunctivitis	disease	C01	   Infections
C0041188	Tropical pyomyositis	disease	C01	   Infections
C0684256	Bacterial sepsis	disease	C01	   Infections
C0280734	AIDS-related malignancies	group	C01	   Infections
C0950124	Disease due to Papilloma virus	group	C01	   Infections
C2350530	Bronchopulmonary Aspergillosis	disease	C01	   Infections
C0343731	Penile warts	phenotype	C01	   Infections
C0277004	Opisthorchis felineus Infection	disease	C01	   Infections
C0275550	Acute bacterial peritonitis	disease	C01	   Infections
C0151465	Renal abscess	disease	C01	   Infections
C0206044	Infections, Calicivirus	group	C01	   Infections
C0153167	Neurosyphilis, Asymptomatic	disease	C01	   Infections
C0276919	Intestinal nematode infection	disease	C01	   Infections
C1282983	ehrlichiosis chafeensis (diagnosis)	disease	C01	   Infections
C1306860	Nonbacterial gastroenteritis	disease	C01	   Infections
C0021355	Infective otitis externa	disease	C01	   Infections
C0001486	Adenovirus Infections	group	C01	   Infections
C0035637	Rinderpest	disease	C01	   Infections
C0013504	Echinococcosis, Hepatic	disease	C01	   Infections
C0014371	Enterotoxemia	disease	C01	   Infections
C0205671	Infections, Arenavirus	group	C01	   Infections
C0006413	Burkitt Lymphoma	disease	C01	   Infections
C1319296	Pediatric human immunodeficiency virus infection	disease	C01	   Infections
C1136210	Meningitis, Meningococcal, Serogroup W-135	disease	C01	   Infections
C0157680	Carbuncle/furuncle	disease	C01	   Infections
C0858005	Influenza B virus infection	disease	C01	   Infections
C0024266	Lymphocytic Choriomeningitis	disease	C01	   Infections
C0031887	Picornaviridae Infections	group	C01	   Infections
C0034362	Q Fever	disease	C01	   Infections
C0030499	Parasitic Diseases	group	C01	   Infections
C0024198	Lyme Disease	disease	C01	   Infections
C0078911	AIDS-Associated Nephropathy	disease	C01	   Infections
C1262117	Fungal keratitis	disease	C01	   Infections
C0276279	Mink parvovirus infection	disease	C01	   Infections
C0002438	Amebiasis	disease	C01	   Infections
C1096560	Infection caused by Malassezia	disease	C01	   Infections
C0338424	Bacterial encephalitis	group	C01	   Infections
C0033129	Acanthamoeba Infection	disease	C01	   Infections
C0276527	Pneumonia associated with AIDS	disease	C01	   Infections
C1696946	Polyomavirus-associated nephropathy	disease	C01	   Infections
C1279621	Tinea profunda (disorder)	disease	C01	   Infections
C0175708	Chronic rheumatic heart disease	disease	C01	   Infections
C0153308	Toxoplasmosis chorioretinitis	disease	C01	   Infections
C0276926	Schistosoma hematobium infection	disease	C01	   Infections
C1290708	Osteomyelitis of mandible	disease	C01	   Infections
C0238097	Cytomegalovirus encephalitis	disease	C01	   Infections
C1832324	Recurrent opportunistic infections	phenotype	C01	   Infections
C1319018	Asthmatic bronchitis	disease	C01	   Infections
C0338404	Rocio virus encephalitis	disease	C01	   Infections
C0026936	Mycoplasma Infections	group	C01	   Infections
C1608955	Mycobacterium abscessus Infection	disease	C01	   Infections
C0152491	Salmonella osteomyelitis	disease	C01	   Infections
C0038166	Staphylococcal Skin Infections	group	C01	   Infections
C4551962	ACNE INVERSA, FAMILIAL, 1	disease	C01	   Infections
C0038165	Staphylococcal Scalded Skin Syndrome	disease	C01	   Infections
C0034494	Rabies (disorder)	disease	C01	   Infections
C0038538	Subdural Effusion	phenotype	C01	   Infections
C1260874	Infective dermatitis	disease	C01	   Infections
C0410422	Chronic multifocal osteomyelitis	disease	C01	   Infections
C0206042	Fatal Familial Insomnia	disease	C01	   Infections
C0026916	Mycobacterium avium-intracellulare Infection	disease	C01	   Infections
C0029443	Osteomyelitis	disease	C01	   Infections
C1136209	Meningitis, Meningococcal, Serogroup Y	disease	C01	   Infections
C0243010	Viral Encephalitis	group	C01	   Infections
C0729518	Bacterial respiratory infection	group	C01	   Infections
C0036983	Septic Shock	phenotype	C01	   Infections
C0024788	Marburg Virus Disease	disease	C01	   Infections
C3665339	Bacterial sepsis of newborn	disease	C01	   Infections
C0311386	Isosporiasis	disease	C01	   Infections
C3805214	Hepatitis B flare	disease	C01	   Infections
C1720008	AIDS-related small noncleaved cell lymphoma	disease	C01	   Infections
C0007932	Chagas' disease without mention of organ involvement	disease	C01	   Infections
C0085594	Fever with chills	phenotype	C01	   Infections
C0037280	Skin Diseases, Parasitic	group	C01	   Infections
C0814152	Viral hepatitis, type G	disease	C01	   Infections
C0403693	Male accessory gland infection	disease	C01	   Infections
C0338430	Limbic Encephalitis	disease	C01	   Infections
C0041227	Trypanosomiasis	disease	C01	   Infections
C0276501	Human immunodeficiency virus II infection	disease	C01	   Infections
C1532322	Infectious Endophthalmitis	disease	C01	   Infections
C0206617	Cardiovirus Infections	group	C01	   Infections
C0877121	AIDS related complication	group	C01	   Infections
C0343858	Chronic Necrotizing Pulmonary Aspergillosis	disease	C01	   Infections
C0043541	Zygomycosis	disease	C01	   Infections
C0032749	Post-kala-azar dermal leishmaniasis	disease	C01	   Infections
C0877153	Neutropenic sepsis	disease	C01	   Infections
C0020413	Hymenolepiasis	disease	C01	   Infections
C1136321	HIV-Associated Lipodystrophy Syndrome	disease	C01	   Infections
C0275544	Congenital infectious disease	group	C01	   Infections
C0017409	Herpes Zoster Oticus	disease	C01	   Infections
C0403414	Acute post-streptococcal glomerulonephritis	disease	C01	   Infections
C0036981	Endotoxic shock	phenotype	C01	   Infections
C1260881	Allergic bronchitis	disease	C01	   Infections
C0277154	Infection by Toxocara canis	disease	C01	   Infections
C2242472	Infection of bone	disease	C01	   Infections
C0851881	Enterococcal infection	disease	C01	   Infections
C0011636	Dermatophytosis	disease	C01	   Infections
C0030409	Paracoccidioidomycosis	disease	C01	   Infections
C0948780	Rhinosinusitis	disease	C01	   Infections
C0741796	Recurrent bronchitis	disease	C01	   Infections
C0276379	La Crosse Encephalitis	disease	C01	   Infections
C0032371	Poliomyelitis	disease	C01	   Infections
C0311388	Harvest mite infestation	disease	C01	   Infections
C0085437	Meningitis, Bacterial	group	C01	   Infections
C0276289	Zika Virus Infection	disease	C01	   Infections
C0038012	Spondylitis	disease	C01	   Infections
C0153257	Primary pulmonary coccidioidomycosis	disease	C01	   Infections
C0014324	Entamoebiasis	disease	C01	   Infections
C0276758	Fusariosis	disease	C01	   Infections
C4721444	Burkitt Leukemia	disease	C01	   Infections
C0152965	Staphylococcal sepsis	disease	C01	   Infections
C0007939	Syphilitic chancre	phenotype	C01	   Infections
C1135745	Meningitis, Meningococcal, Serogroup A	disease	C01	   Infections
C0006818	Campylobacter infection	disease	C01	   Infections
C0341851	Condyloma acuminata of vulva	disease	C01	   Infections
C0263218	Pyogenic granuloma of skin	disease	C01	   Infections
C0520575	Acute pyelonephritis	disease	C01	   Infections
C0877445	Candidemia	disease	C01	   Infections
C1403880	Viral meningoencephalitis	disease	C01	   Infections
C3665800	Streptococcal endocarditis	disease	C01	   Infections
C2749137	Retinitis Pigmentosa, X-Linked, And Sinorespiratory Infections, With Or Without Deafness	disease	C01	   Infections
C0085438	Meningitis, Fungal	disease	C01	   Infections
C0856597	Pulmonary alveolitis	disease	C01	   Infections
C0016397	Focal Infection	disease	C01	   Infections
C0153066	Murray valley encephalitis	disease	C01	   Infections
C0348165	Central Nervous System Viral Diseases	group	C01	   Infections
C1861457	PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY	disease	C01	   Infections
C4303482	Familial Alzheimer-like prion disease	disease	C01	   Infections
C0275524	Coinfection	phenotype	C01	   Infections
C0277192	Infection by Spirocerca	phenotype	C01	   Infections
C0238990	Acute lower respiratory tract infection	disease	C01	   Infections
C0029291	Psittacosis	disease	C01	   Infections
C0472817	WHIM syndrome	disease	C01	   Infections
C0339825	Nasal vestibulitis	disease	C01	   Infections
C4302102	Malaria caused by Plasmodium not Plasmodium falciparum	disease	C01	   Infections
C0338401	Enteroviral encephalitis	disease	C01	   Infections
C1827301	Extensively Drug-Resistant Tuberculosis	phenotype	C01	   Infections
C1175175	Severe Acute Respiratory Syndrome	disease	C01	   Infections
C1969957	Creutzfeldt-Jakob Disease, Heidenhain Variant	phenotype	C01	   Infections
C1847650	SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES	disease	C01	   Infections
C0001175	Acquired Immunodeficiency Syndrome	group	C01	   Infections
C3178973	Disseminated Fusariosis	disease	C01	   Infections
C0343400	Intestinal microsporidiosis	disease	C01	   Infections
C0162628	Skin Diseases, Viral	group	C01	   Infections
C0348148	Early syphilis, unspecified	disease	C01	   Infections
C0553577	Post-tuberculous reactive arthritis	disease	C01	   Infections
C0085693	Acute appendicitis NOS (disorder)	disease	C01	   Infections
C3665596	Warts	disease	C01	   Infections
C4038890	Pneumonia due to influenza	disease	C01	   Infections
C0038160	Staphylococcal Infections	group	C01	   Infections
C0239055	CHRONIC CRYPTOSPORIDIOSIS	disease	C01	   Infections
C0343363	Viral gastroenteritis due to Rotavirus	disease	C01	   Infections
C0028242	Nocardia Infections	group	C01	   Infections
C0747667	Recurrent bacterial pneumonia	disease	C01	   Infections
C2931022	Amyloidosis, Cerebral, with Spongiform Encephalopathy	disease	C01	   Infections
C0036685	Septicaemia due to gram-negative organism, unspecified	group	C01	   Infections
C0036689	Streptococcal sore throat	disease	C01	   Infections
C1299919	Enteric coccidiosis	disease	C01	   Infections
C0031157	Peritonsillar Abscess	disease	C01	   Infections
C0343885	Chronic disseminated candidiasis	disease	C01	   Infections
C0847226	Viral keratitis	disease	C01	   Infections
C0023346	Borderline leprosy	disease	C01	   Infections
C0281779	Condyloma anal	disease	C01	   Infections
C1096582	Campylobacter jejuni infection	disease	C01	   Infections
C0518948	Chlamydia trachomatis infection	disease	C01	   Infections
C0040560	Toxoplasmosis, Congenital	disease	C01	   Infections
C0007930	Chagas Cardiomyopathy	disease	C01	   Infections
C0268821	Lower urinary tract infectious disease	group	C01	   Infections
C0030389	Parainfluenza	disease	C01	   Infections
C0276223	Recurrent herpes simplex	disease	C01	   Infections
C3854437	Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids	disease	C01	   Infections
C0040250	Tinea Capitis	disease	C01	   Infections
C0152936	Plague, Septicemic	disease	C01	   Infections
C0035613	Rift Valley Fever	disease	C01	   Infections
C0008698	Chronic maxillary sinusitis	disease	C01	   Infections
C0277150	Infection by Baylisascaris	phenotype	C01	   Infections
C0152068	Echinococcus granulosus infection	disease	C01	   Infections
C0040559	Toxoplasmosis, Animal	disease	C01	   Infections
C0031049	Pericarditis, Tuberculous	disease	C01	   Infections
C0028848	Ocular Larva Migrans	disease	C01	   Infections
C1262313	Invasive Fungal Infections	group	C01	   Infections
C0376329	New Variant Creutzfeldt-Jakob Disease	disease	C01	   Infections
C0038395	Streptococcal Infections	group	C01	   Infections
C3266863	Atypical Mycobacteriosis, Familial	disease	C01	   Infections
C0343972	Schistosomal splenomegaly	phenotype	C01	   Infections
C0376300	Dengue Shock Syndrome	disease	C01	   Infections
C1845073	INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT ISOLATED, 2 (disorder)	disease	C01	   Infections
C0041234	Chagas Disease	disease	C01	   Infections
C0343386	Clostridium difficile infection	disease	C01	   Infections
C0750466	Yeast infection	disease	C01	   Infections
C2732890	Necrotizing soft tissue infection	disease	C01	   Infections
C0026919	Mycobacterium Infections, Nontuberculous	group	C01	   Infections
C4707262	Non-herpetic acute limbic encephalitis	disease	C01	   Infections
C1443237	Healthcare associated pneumonia	phenotype	C01	   Infections
C3887668	Infection by larvae of Trichinella spiralis	disease	C01	   Infections
C0585187	Infected ascites	disease	C01	   Infections
C2959467	Tuberculous pleural effusion	disease	C01	   Infections
C0015231	Exanthema Subitum	disease	C01	   Infections
C0747690	Postobstructive pneumonia	disease	C01	   Infections
C0851162	Infections of musculoskeletal system	group	C01	   Infections
C0581354	Recurrent sinusitis	disease	C01	   Infections
C0949056	Infection caused by Coxiella	disease	C01	   Infections
C0031019	Perianal abscess	disease	C01	   Infections
C0858004	Influenza A virus infection	disease	C01	   Infections
C3694279	Middle East Respiratory Syndrome	disease	C01	   Infections
C0026393	Molluscum Contagiosum	disease	C01	   Infections
C0001849	AIDS Dementia Complex	disease	C01	   Infections
C0019372	Herpesviridae Infections	group	C01	   Infections
C1290646	Acute apical abscess	disease	C01	   Infections
C0006105	Brain Abscess	disease	C01	   Infections
C3178957	Subcutaneous Phaeohyphomycosis	disease	C01	   Infections
C0151463	Abscess of breast	disease	C01	   Infections
C0276908	Infection by Pneumocystis jirovecii (disorder)	phenotype	C01	   Infections
C0343751	Asymptomatic human immunodeficiency virus infection	disease	C01	   Infections
C0702135	Primary atypical pneumonia	disease	C01	   Infections
C3874414	Human metapneumovirus infection	disease	C01	   Infections
C1719672	Severe Sepsis	disease	C01	   Infections
C4744849	Refractory Kaposi Sarcoma	disease	C01	   Infections
C0264478	Sequoiosis	disease	C01	   Infections
C1168198	Recurrent respiratory papillomatosis	disease	C01	   Infections
C0276357	Swine influenza	disease	C01	   Infections
C0276089	Pneumonia due to Escherichia coli	disease	C01	   Infections
C0010232	Cowpox	disease	C01	   Infections
C0023288	Infection by Leishmania braziliensis	disease	C01	   Infections
C0151874	Fungal infection of lung	group	C01	   Infections
C0020102	HTLV-II Infections	group	C01	   Infections
C0264222	Acute upper respiratory infection	disease	C01	   Infections
C0341599	Peristomal abscess	phenotype	C01	   Infections
C0024116	Lung Diseases, Fungal	group	C01	   Infections
C0877148	Pharyngotonsillitis	disease	C01	   Infections
C0279591	Adult Burkitt Leukemia	disease	C01	   Infections
C0040247	Tinea	disease	C01	   Infections
C0473119	Fecal peritonitis	disease	C01	   Infections
C1096721	Neonatal Late-Onset Sepsis	disease	C01	   Infections
C0032241	Pleuropneumonia	disease	C01	   Infections
C0348321	Hemophilus influenza infection	disease	C01	   Infections
C3495436	American cutaneous leishmaniasis	disease	C01	   Infections
C0024106	Lumpy Skin Disease	disease	C01	   Infections
C2314882	Reproductive tract infection	disease	C01	   Infections
C0025309	Meningoencephalitis	disease	C01	   Infections
C0043168	Whooping cough due to unspecified organism	disease	C01	   Infections
C0025310	Meningoencephalomyelitis	disease	C01	   Infections
C0149777	Abscess of skin AND/OR subcutaneous tissue	phenotype	C01	   Infections
C0032285	Pneumonia	disease	C01	   Infections
C0006840	Candidiasis	disease	C01	   Infections
C0275706	Infection due to Mycobacterium kansasii	disease	C01	   Infections
C1698398	Eosinophilic bronchitis	disease	C01	   Infections
C1269831	Infection due to resistant organism	group	C01	   Infections
C4039254	Chronic pneumonia	disease	C01	   Infections
C0343287	Thoracic discitis	disease	C01	   Infections
C1331548	Infection by Ascaris lumbricoides	disease	C01	   Infections
C0392163	Corneal erosion	disease	C01	   Infections
C0149517	Chronic tonsillitis	disease	C01	   Infections
C1609535	Invasive Candidiasis	disease	C01	   Infections
C1697878	BK virus nephropathy	disease	C01	   Infections
C0007894	Cestode Infections	group	C01	   Infections
C1096691	BK virus infection	disease	C01	   Infections
C4703487	Disseminated cryptosporidium infection	disease	C01	   Infections
C0343806	Herpetosoma Infection	disease	C01	   Infections
C0085407	Microsporidiosis	disease	C01	   Infections
C4302250	Dengue with warning signs	disease	C01	   Infections
C0343863	Candida infection of genital region	group	C01	   Infections
C0021400	Influenza	disease	C01	   Infections
C0276168	Egg drop syndrome	disease	C01	   Infections
C0153261	Histoplasma capsulatum Infection	group	C01	   Infections
C0600123	Acute hematogenous osteomyelitis	disease	C01	   Infections
C0343401	MRSA - Methicillin resistant Staphylococcus aureus infection	disease	C01	   Infections
C0409543	Pyogenic arthritis of hip	disease	C01	   Infections
C0267924	Suppurative cholangitis	disease	C01	   Infections
C0085740	Mendelson Syndrome	disease	C01	   Infections
C0152915	Acute miliary tuberculosis	disease	C01	   Infections
C0014493	Epidemic keratoconjunctivitis	disease	C01	   Infections
C0040896	Trichinellosis	disease	C01	   Infections
C0751584	West Nile Fever Meningitis	disease	C01	   Infections
C0006849	Oral candidiasis	disease	C01	   Infections
C0157846	Unspecified infective arthritis involving hand	disease	C01	   Infections
C1456687	Polio and Post-Polio Syndrome	disease	C01	   Infections
C0243001	Abdominal Abscess	disease	C01	   Infections
C4041147	Acute exacerbation of chronic obstructive bronchitis	disease	C01	   Infections
C0152964	Streptococcal sepsis	disease	C01	   Infections
C0041330	Tuberculosis, Spinal	disease	C01	   Infections
C0026918	Mycobacterium Infections	group	C01	   Infections
C0008707	Chronic osteomyelitis	disease	C01	   Infections
C0002797	Bovine Anaplasmosis	disease	C01	   Infections
C0010043	Corneal Ulcer	disease	C01	   Infections
C0342957	Postoperative septic shock	phenotype	C01	   Infections
C0035585	Rickettsia Infections	group	C01	   Infections
C1368771	Burkitt-like lymphoma	disease	C01	   Infections
C0041228	African Trypanosomiasis	disease	C01	   Infections
C0011630	Dermatomycoses	group	C01	   Infections
C0858321	Plasmodium vivax infection	disease	C01	   Infections
C0858320	Plasmodium ovale infection	disease	C01	   Infections
C0024110	Lung Abscess	disease	C01	   Infections
C0162526	AIDS-Related Opportunistic Infections	group	C01	   Infections
C0003875	Arthritis, Viral	disease	C01	   Infections
C1629504	Atypical Burkitt's lymphoma	disease	C01	   Infections
C0033817	Pseudomonas Infections	group	C01	   Infections
C0041311	Tuberculosis, Female Genital	disease	C01	   Infections
C0343856	Systemic aspergillosis	disease	C01	   Infections
C0854248	Pneumonia due to Gram negative bacteria	group	C01	   Infections
C0340354	Q fever endocarditis	disease	C01	   Infections
C0275594	Infection due to Brucella suis	disease	C01	   Infections
C0029001	Onchocerciasis	disease	C01	   Infections
C0281778	Anal abscess	disease	C01	   Infections
C0025306	Meningococcemia	disease	C01	   Infections
C0004030	Aspergillosis	disease	C01	   Infections
C0206019	HIV Encephalopathy	disease	C01	   Infections
C3873533	Mycobacterial lymphadenitis	disease	C01	   Infections
C0043528	Zoonoses	disease	C01	   Infections
C0270686	Fungal infection of brain	group	C01	   Infections
C0036917	Sexually Transmitted Diseases, Bacterial	group	C01	   Infections
C1535985	Staphylococcal osteomyelitis	disease	C01	   Infections
C0162836	Hidradenitis Suppurativa	disease	C01	   Infections
C0149725	Lower respiratory tract infection	group	C01	   Infections
C1318711	Herpes simplex type 1 infection	disease	C01	   Infections
C0152084	Jaccoud's syndrome	disease	C01	   Infections
C0162627	Skin Diseases, Bacterial	group	C01	   Infections
C0729771	Infective pharyngitis	group	C01	   Infections
C0267541	Typhlocolitis	disease	C01	   Infections
C0155072	Mooren's ulcer	disease	C01	   Infections
C0267830	Liver Abscess, Pyogenic	disease	C01	   Infections
C0019385	Herpetic meningoencephalitis	disease	C01	   Infections
C0016867	Furunculosis	disease	C01	   Infections
C1142536	Pneumonia due to methicillin resistant Staphylococcus aureus	disease	C01	   Infections
C0395905	Postauricular fistula	disease	C01	   Infections
C0010246	Coxsackievirus Infections	group	C01	   Infections
C1274408	Chronic plaque-like oral candidiasis	disease	C01	   Infections
C0030524	Paratuberculosis	disease	C01	   Infections
C0483368	Human anaplasmosis due to Anaplasma phagocytophilum	disease	C01	   Infections
C0041295	Tuberculoma	disease	C01	   Infections
C0242381	Lyme Arthritis	disease	C01	   Infections
C0276138	Viral myocarditis	disease	C01	   Infections
C0524910	Hepatitis C, Chronic	disease	C01	   Infections
C3534585	Infection caused by Norovirus	group	C01	   Infections
C4518562	Pneumonia caused by Gram positive bacteria	disease	C01	   Infections
C0343431	Disseminated mycobacteriosis	disease	C01	   Infections
C0085692	Hemorrhagic cystitis	disease	C01	   Infections
C0948949	fungus foot	disease	C01	   Infections
C2698045	Merkel Cell Polyomavirus Infection	disease	C01	   Infections
C0032231	Pleurisy	disease	C01	   Infections
C0039223	Tabes Dorsalis	disease	C01	   Infections
C0086227	Enterobiasis	disease	C01	   Infections
C1274297	Febrile Ulceronecrotic Mucha-Habermann disease	disease	C01	   Infections
C3875265	Febrile urinary tract infection	disease	C01	   Infections
C0339952	Secondary bacterial pneumonia	disease	C01	   Infections
C0489980	Disseminated due to other mycobacteria	disease	C01	   Infections
C0022729	Klebsiella Infections	group	C01	   Infections
C3805156	Chronic hepatitis C virus genotype 1	disease	C01	   Infections
C0206615	Pneumovirus Infections	group	C01	   Infections
C0032269	Pneumococcal Infections	group	C01	   Infections
C1257843	pseudomembranous colitis	disease	C01	   Infections
C0040252	Tinea corporis (disorder)	disease	C01	   Infections
C0264757	Rheumatic disease of heart valve	disease	C01	   Infections
C0392663	Infection by Wuchereria bancrofti	disease	C01	   Infections
C2973787	Coxiella burnetii Infection	disease	C01	   Infections
C4289792	Chronic Active EBV Infection of T-and NK-Cell Type, Systemic Form	disease	C01	   Infections
C0343881	Central nervous system candidiasis	disease	C01	   Infections
C1761609	Aspiration pneumonitis	disease	C01	   Infections
C0851882	Infection caused by Francisella	disease	C01	   Infections
C0341022	Chronic hyperplastic candidiasis	disease	C01	   Infections
C2887084	Sepsis due to Streptococcus pneumoniae	disease	C01	   Infections
C0025303	Meningococcal Infections	group	C01	   Infections
C0221237	Angular cheilitis	disease	C01	   Infections
C0596773	Infectious Encephalitis	disease	C01	   Infections
C0014236	Endophthalmitis	disease	C01	   Infections
C0747651	Recurrent aspiration pneumonia	disease	C01	   Infections
C0854328	Infection due to anaerobic bacteria	group	C01	   Infections
C0276548	HIV encephalitis	disease	C01	   Infections
C4082764	Gastrointestinal infection	disease	C01	   Infections
C2900450	Other Creutzfeldt-Jakob disease	disease	C01	   Infections
C0013371	Shigella Infections	group	C01	   Infections
C0277331	Disease due to Acanthocephala	disease	C01	   Infections
C1504514	Infection by human herpesvirus 7	disease	C01	   Infections
C0276161	Subacute adenoviral encephalitis	disease	C01	   Infections
C0019097	Hemorrhagic Fever, Argentinian	disease	C01	   Infections
C0041307	Tuberculosis, Bovine	disease	C01	   Infections
C0302360	Disease caused by Shigella boydii	disease	C01	   Infections
C0458385	Site-specific infective disorders of skin	group	C01	   Infections
C0004576	Babesiosis	disease	C01	   Infections
C3160847	Perinatal HIV infection	disease	C01	   Infections
C0006848	Mucocutaneous candidiasis	disease	C01	   Infections
C0344020	Onchodermatitis	disease	C01	   Infections
C0520798	Hepatic schistosomiasis	disease	C01	   Infections
C4087436	HIV viraemia	disease	C01	   Infections
C0856238	Influenza (epidemic)	disease	C01	   Infections
C0031350	Pharyngitis	disease	C01	   Infections
C1258039	Henipavirus Infections	group	C01	   Infections
C0266024	Moon's molar teeth	disease	C01	   Infections
C2720436	Fibrosis of pleura	disease	C01	   Infections
C0019159	Hepatitis A	disease	C01	   Infections
C0275919	Tuberculous ascites	disease	C01	   Infections
C4303092	Cystic echinococcosis	phenotype	C01	   Infections
C0497169	hiv-infection/aids	disease	C01	   Infections
C0729519	Bacterial upper respiratory infection	group	C01	   Infections
C0276340	Respiratory syncytial virus bronchiolitis	disease	C01	   Infections
C0949091	Candida sepsis	disease	C01	   Infections
C0277005	Opisthorchis viverrini Infection	disease	C01	   Infections
C0276096	Mastitis-metritis-agalactia syndrome	disease	C01	   Infections
C4275003	Familial Creutzfeldt-Jakob	disease	C01	   Infections
C0036329	Schistosomiasis japonica	disease	C01	   Infections
C0029342	Orthomyxoviridae Infections	group	C01	   Infections
C0742964	Bacterial cystitis	disease	C01	   Infections
C1313983	Acute contagious conjunctivitis	disease	C01	   Infections
C0005866	Bluetongue infection	disease	C01	   Infections
C0275686	Congenital listeriosis	disease	C01	   Infections
C0341503	Bacterial peritonitis	disease	C01	   Infections
C0019099	Hemorrhagic Fever, Crimean	disease	C01	   Infections
C0275703	Brazilian purpuric fever	disease	C01	   Infections
C4049342	Foot osteomyelitis	disease	C01	   Infections
C0524909	Hepatitis B, Chronic	disease	C01	   Infections
C0085396	Neisseriaceae Infections	group	C01	   Infections
C0019096	Hemorrhagic Fever, American	disease	C01	   Infections
C0003869	Arthritis, Infectious	group	C01	   Infections
C0275518	Acute infectious disease	group	C01	   Infections
C0041351	Tularemia	disease	C01	   Infections
C0012754	Distemper	disease	C01	   Infections
C0158945	Congenital cytomegalovirus infection	disease	C01	   Infections
C3853540	Aspirin exacerbated respiratory disease	disease	C01	   Infections
C0729584	Infective meningitis	disease	C01	   Infections
C0014541	Epiglottitis	disease	C01	   Infections
C0949804	Polyomavirus Infections	group	C01	   Infections
C0751341	Infectious Myelitis	disease	C01	   Infections
C0155870	Pneumonia and influenza	disease	C01	   Infections
C0038463	Strongyloidiasis	disease	C01	   Infections
C0036231	Sarcocystosis	disease	C01	   Infections
C0021345	Infectious Mononucleosis	disease	C01	   Infections
C1852467	Creutzfeldt-Jakob Disease, Sporadic	disease	C01	   Infections
C3874374	Oncovirus infection	disease	C01	   Infections
C0276088	Escherichia coli septicemia	disease	C01	   Infections
C0001857	AIDS related complex	disease	C01	   Infections
C0043102	Weil Disease	disease	C01	   Infections
C0162637	Strongylida Infections	group	C01	   Infections
C0343379	Enterotoxigenic Escherichia coli gastrointestinal tract infection	disease	C01	   Infections
C2930924	Interferon gamma, receptor 1, deficiency	disease	C01	   Infections
C0854211	Bacterial keratitis	disease	C01	   Infections
C0010678	Cysticercosis	disease	C01	   Infections
C0153252	Systemic candidiasis	disease	C01	   Infections
C0036220	Kaposi Sarcoma	disease	C01	   Infections
C0028425	Crusted scabies	disease	C01	   Infections
C0003089	Ankylosing spondylitis and other inflammatory spondylopathies	disease	C01	   Infections
C1532094	Paralytic rabies	disease	C01	   Infections
C0919659	Oropharyngeal candidiasis	disease	C01	   Infections
C0027441	Nasopharyngitis	disease	C01	   Infections
C1367420	Kaposiform Hemangioendothelioma	disease	C01	   Infections
C0276609	Acute type B viral hepatitis	disease	C01	   Infections
C0153562	Kaposi's sarcoma of palate	disease	C01	   Infections
C0270629	Epidural Abscess	disease	C01	   Infections
