diseaseNID	diseaseClassNID	diseaseClassNID	vocabulary	diseaseClass	diseaseClassName	diseaseNID	diseaseId	diseaseName	type
7094	20	20	MSH	C01	   Infections	7094	C0276919	Intestinal nematode infection	disease
13716	20	20	MSH	C01	   Infections	13716	C1282983	ehrlichiosis chafeensis (diagnosis)	disease
13980	20	20	MSH	C01	   Infections	13980	C1306860	Nonbacterial gastroenteritis	disease
1572	20	20	MSH	C01	   Infections	1572	C0021355	Infective otitis externa	disease
61	20	20	MSH	C01	   Infections	61	C0001486	Adenovirus Infections	group
2696	20	20	MSH	C01	   Infections	2696	C0035637	Rinderpest	disease
892	20	20	MSH	C01	   Infections	892	C0013504	Echinococcosis, Hepatic	disease
958	20	20	MSH	C01	   Infections	958	C0014371	Enterotoxemia	disease
4382	20	20	MSH	C01	   Infections	4382	C0205671	Infections, Arenavirus	group
420	20	20	MSH	C01	   Infections	420	C0006413	Burkitt Lymphoma	disease
14019	20	20	MSH	C01	   Infections	14019	C1319296	Pediatric human immunodeficiency virus infection	disease
13198	20	20	MSH	C01	   Infections	13198	C1136210	Meningitis, Meningococcal, Serogroup W-135	disease
4114	20	20	MSH	C01	   Infections	4114	C0157680	Carbuncle/furuncle	disease
12569	20	20	MSH	C01	   Infections	12569	C0858005	Influenza B virus infection	disease
1838	20	20	MSH	C01	   Infections	1838	C0024266	Lymphocytic Choriomeningitis	disease
2427	20	20	MSH	C01	   Infections	2427	C0031887	Picornaviridae Infections	group
2605	20	20	MSH	C01	   Infections	2605	C0034362	Q Fever	disease
2341	20	20	MSH	C01	   Infections	2341	C0030499	Parasitic Diseases	group
1827	20	20	MSH	C01	   Infections	1827	C0024198	Lyme Disease	disease
3227	20	20	MSH	C01	   Infections	3227	C0078911	AIDS-Associated Nephropathy	disease
13378	20	20	MSH	C01	   Infections	13378	C1262117	Fungal keratitis	disease
7053	20	20	MSH	C01	   Infections	7053	C0276279	Mink parvovirus infection	disease
120	20	20	MSH	C01	   Infections	120	C0002438	Amebiasis	disease
13106	20	20	MSH	C01	   Infections	13106	C1096560	Infection caused by Malassezia	disease
7893	20	20	MSH	C01	   Infections	7893	C0338424	Bacterial encephalitis	group
2515	20	20	MSH	C01	   Infections	2515	C0033129	Acanthamoeba Infection	disease
7064	20	20	MSH	C01	   Infections	7064	C0276527	Pneumonia associated with AIDS	disease
15303	20	20	MSH	C01	   Infections	15303	C1696946	Polyomavirus-associated nephropathy	disease
13677	20	20	MSH	C01	   Infections	13677	C1279621	Tinea profunda (disorder)	disease
4281	20	20	MSH	C01	   Infections	4281	C0175708	Chronic rheumatic heart disease	disease
3836	20	20	MSH	C01	   Infections	3836	C0153308	Toxoplasmosis chorioretinitis	disease
7095	20	20	MSH	C01	   Infections	7095	C0276926	Schistosoma hematobium infection	disease
13757	20	20	MSH	C01	   Infections	13757	C1290708	Osteomyelitis of mandible	disease
5250	20	20	MSH	C01	   Infections	5250	C0238097	Cytomegalovirus encephalitis	disease
15673	20	20	MSH	C01	   Infections	15673	C1832324	Recurrent opportunistic infections	phenotype
14016	20	20	MSH	C01	   Infections	14016	C1319018	Asthmatic bronchitis	disease
7892	20	20	MSH	C01	   Infections	7892	C0338404	Rocio virus encephalitis	disease
2047	20	20	MSH	C01	   Infections	2047	C0026936	Mycoplasma Infections	group
15222	20	20	MSH	C01	   Infections	15222	C1608955	Mycobacterium abscessus Infection	disease
3813	20	20	MSH	C01	   Infections	3813	C0152491	Salmonella osteomyelitis	disease
2878	20	20	MSH	C01	   Infections	2878	C0038166	Staphylococcal Skin Infections	group
29316	20	20	MSH	C01	   Infections	29316	C4551962	ACNE INVERSA, FAMILIAL, 1	disease
2877	20	20	MSH	C01	   Infections	2877	C0038165	Staphylococcal Scalded Skin Syndrome	disease
2607	20	20	MSH	C01	   Infections	2607	C0034494	Rabies (disorder)	disease
2916	20	20	MSH	C01	   Infections	2916	C0038538	Subdural Effusion	phenotype
13340	20	20	MSH	C01	   Infections	13340	C1260874	Infective dermatitis	disease
9386	20	20	MSH	C01	   Infections	9386	C0410422	Chronic multifocal osteomyelitis	disease
4424	20	20	MSH	C01	   Infections	4424	C0206042	Fatal Familial Insomnia	disease
2044	20	20	MSH	C01	   Infections	2044	C0026916	Mycobacterium avium-intracellulare Infection	disease
2256	20	20	MSH	C01	   Infections	2256	C0029443	Osteomyelitis	disease
13197	20	20	MSH	C01	   Infections	13197	C1136209	Meningitis, Meningococcal, Serogroup Y	disease
5616	20	20	MSH	C01	   Infections	5616	C0243010	Viral Encephalitis	group
11130	20	20	MSH	C01	   Infections	11130	C0729518	Bacterial respiratory infection	group
2788	20	20	MSH	C01	   Infections	2788	C0036983	Septic Shock	phenotype
1888	20	20	MSH	C01	   Infections	1888	C0024788	Marburg Virus Disease	disease
23264	20	20	MSH	C01	   Infections	23264	C3665339	Bacterial sepsis of newborn	disease
7562	20	20	MSH	C01	   Infections	7562	C0311386	Isosporiasis	disease
23505	20	20	MSH	C01	   Infections	23505	C3805214	Hepatitis B flare	disease
15484	20	20	MSH	C01	   Infections	15484	C1720008	AIDS-related small noncleaved cell lymphoma	disease
531	20	20	MSH	C01	   Infections	531	C0007932	Chagas' disease without mention of organ involvement	disease
3377	20	20	MSH	C01	   Infections	3377	C0085594	Fever with chills	phenotype
2816	20	20	MSH	C01	   Infections	2816	C0037280	Skin Diseases, Parasitic	group
12213	20	20	MSH	C01	   Infections	12213	C0814152	Viral hepatitis, type G	disease
9228	20	20	MSH	C01	   Infections	9228	C0403693	Male accessory gland infection	disease
7894	20	20	MSH	C01	   Infections	7894	C0338430	Limbic Encephalitis	disease
3060	20	20	MSH	C01	   Infections	3060	C0041227	Trypanosomiasis	disease
7063	20	20	MSH	C01	   Infections	7063	C0276501	Human immunodeficiency virus II infection	disease
15074	20	20	MSH	C01	   Infections	15074	C1532322	Infectious Endophthalmitis	disease
4467	20	20	MSH	C01	   Infections	4467	C0206617	Cardiovirus Infections	group
12762	20	20	MSH	C01	   Infections	12762	C0877121	AIDS related complication	group
8457	20	20	MSH	C01	   Infections	8457	C0343858	Chronic Necrotizing Pulmonary Aspergillosis	disease
3225	20	20	MSH	C01	   Infections	3225	C0043541	Zygomycosis	disease
2487	20	20	MSH	C01	   Infections	2487	C0032749	Post-kala-azar dermal leishmaniasis	disease
12765	20	20	MSH	C01	   Infections	12765	C0877153	Neutropenic sepsis	disease
1443	20	20	MSH	C01	   Infections	1443	C0020413	Hymenolepiasis	disease
13200	20	20	MSH	C01	   Infections	13200	C1136321	HIV-Associated Lipodystrophy Syndrome	disease
7005	20	20	MSH	C01	   Infections	7005	C0275544	Congenital infectious disease	group
1167	20	20	MSH	C01	   Infections	1167	C0017409	Herpes Zoster Oticus	disease
9199	20	20	MSH	C01	   Infections	9199	C0403414	Acute post-streptococcal glomerulonephritis	disease
2786	20	20	MSH	C01	   Infections	2786	C0036981	Endotoxic shock	phenotype
13342	20	20	MSH	C01	   Infections	13342	C1260881	Allergic bronchitis	disease
7100	20	20	MSH	C01	   Infections	7100	C0277154	Infection by Toxocara canis	disease
19978	20	20	MSH	C01	   Infections	19978	C2242472	Infection of bone	disease
12292	20	20	MSH	C01	   Infections	12292	C0851881	Enterococcal infection	disease
782	20	20	MSH	C01	   Infections	782	C0011636	Dermatophytosis	disease
2325	20	20	MSH	C01	   Infections	2325	C0030409	Paracoccidioidomycosis	disease
13016	20	20	MSH	C01	   Infections	13016	C0948780	Rhinosinusitis	disease
11262	20	20	MSH	C01	   Infections	11262	C0741796	Recurrent bronchitis	disease
7057	20	20	MSH	C01	   Infections	7057	C0276379	La Crosse Encephalitis	disease
2471	20	20	MSH	C01	   Infections	2471	C0032371	Poliomyelitis	disease
7563	20	20	MSH	C01	   Infections	7563	C0311388	Harvest mite infestation	disease
3358	20	20	MSH	C01	   Infections	3358	C0085437	Meningitis, Bacterial	group
7054	20	20	MSH	C01	   Infections	7054	C0276289	Zika Virus Infection	disease
2865	20	20	MSH	C01	   Infections	2865	C0038012	Spondylitis	disease
3834	20	20	MSH	C01	   Infections	3834	C0153257	Primary pulmonary coccidioidomycosis	disease
954	20	20	MSH	C01	   Infections	954	C0014324	Entamoebiasis	disease
7085	20	20	MSH	C01	   Infections	7085	C0276758	Fusariosis	disease
29770	20	20	MSH	C01	   Infections	29770	C4721444	Burkitt Leukemia	disease
3823	20	20	MSH	C01	   Infections	3823	C0152965	Staphylococcal sepsis	disease
533	20	20	MSH	C01	   Infections	533	C0007939	Syphilitic chancre	phenotype
13180	20	20	MSH	C01	   Infections	13180	C1135745	Meningitis, Meningococcal, Serogroup A	disease
430	20	20	MSH	C01	   Infections	430	C0006818	Campylobacter infection	disease
8190	20	20	MSH	C01	   Infections	8190	C0341851	Condyloma acuminata of vulva	disease
5698	20	20	MSH	C01	   Infections	5698	C0263218	Pyogenic granuloma of skin	disease
10180	20	20	MSH	C01	   Infections	10180	C0520575	Acute pyelonephritis	disease
12782	20	20	MSH	C01	   Infections	12782	C0877445	Candidemia	disease
14747	20	20	MSH	C01	   Infections	14747	C1403880	Viral meningoencephalitis	disease
23291	20	20	MSH	C01	   Infections	23291	C3665800	Streptococcal endocarditis	disease
20848	20	20	MSH	C01	   Infections	20848	C2749137	Retinitis Pigmentosa, X-Linked, And Sinorespiratory Infections, With Or Without Deafness	disease
3359	20	20	MSH	C01	   Infections	3359	C0085438	Meningitis, Fungal	disease
12494	20	20	MSH	C01	   Infections	12494	C0856597	Pulmonary alveolitis	disease
1110	20	20	MSH	C01	   Infections	1110	C0016397	Focal Infection	disease
3829	20	20	MSH	C01	   Infections	3829	C0153066	Murray valley encephalitis	disease
8722	20	20	MSH	C01	   Infections	8722	C0348165	Central Nervous System Viral Diseases	group
18730	20	20	MSH	C01	   Infections	18730	C1861457	PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY	disease
27969	20	20	MSH	C01	   Infections	27969	C4303482	Familial Alzheimer-like prion disease	disease
7004	20	20	MSH	C01	   Infections	7004	C0275524	Coinfection	phenotype
7101	20	20	MSH	C01	   Infections	7101	C0277192	Infection by Spirocerca	phenotype
5348	20	20	MSH	C01	   Infections	5348	C0238990	Acute lower respiratory tract infection	disease
2231	20	20	MSH	C01	   Infections	2231	C0029291	Psittacosis	disease
9971	20	20	MSH	C01	   Infections	9971	C0472817	WHIM syndrome	disease
8028	20	20	MSH	C01	   Infections	8028	C0339825	Nasal vestibulitis	disease
27922	20	20	MSH	C01	   Infections	27922	C4302102	Malaria caused by Plasmodium not Plasmodium falciparum	disease
7891	20	20	MSH	C01	   Infections	7891	C0338401	Enteroviral encephalitis	disease
15610	20	20	MSH	C01	   Infections	15610	C1827301	Extensively Drug-Resistant Tuberculosis	phenotype
13298	20	20	MSH	C01	   Infections	13298	C1175175	Severe Acute Respiratory Syndrome	disease
19739	20	20	MSH	C01	   Infections	19739	C1969957	Creutzfeldt-Jakob Disease, Heidenhain Variant	phenotype
17145	20	20	MSH	C01	   Infections	17145	C1847650	SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES	disease
32	20	20	MSH	C01	   Infections	32	C0001175	Acquired Immunodeficiency Syndrome	group
22140	20	20	MSH	C01	   Infections	22140	C3178973	Disseminated Fusariosis	disease
8422	20	20	MSH	C01	   Infections	8422	C0343400	Intestinal microsporidiosis	disease
4229	20	20	MSH	C01	   Infections	4229	C0162628	Skin Diseases, Viral	group
8721	20	20	MSH	C01	   Infections	8721	C0348148	Early syphilis, unspecified	disease
10539	20	20	MSH	C01	   Infections	10539	C0553577	Post-tuberculous reactive arthritis	disease
3423	20	20	MSH	C01	   Infections	3423	C0085693	Acute appendicitis NOS (disorder)	disease
23283	20	20	MSH	C01	   Infections	23283	C3665596	Warts	disease
26959	20	20	MSH	C01	   Infections	26959	C4038890	Pneumonia due to influenza	disease
2876	20	20	MSH	C01	   Infections	2876	C0038160	Staphylococcal Infections	group
5350	20	20	MSH	C01	   Infections	5350	C0239055	CHRONIC CRYPTOSPORIDIOSIS	disease
8415	20	20	MSH	C01	   Infections	8415	C0343363	Viral gastroenteritis due to Rotavirus	disease
2172	20	20	MSH	C01	   Infections	2172	C0028242	Nocardia Infections	group
11418	20	20	MSH	C01	   Infections	11418	C0747667	Recurrent bacterial pneumonia	disease
21299	20	20	MSH	C01	   Infections	21299	C2931022	Amyloidosis, Cerebral, with Spongiform Encephalopathy	disease
2764	20	20	MSH	C01	   Infections	2764	C0036685	Septicaemia due to gram-negative organism, unspecified	group
2766	20	20	MSH	C01	   Infections	2766	C0036689	Streptococcal sore throat	disease
13843	20	20	MSH	C01	   Infections	13843	C1299919	Enteric coccidiosis	disease
2405	20	20	MSH	C01	   Infections	2405	C0031157	Peritonsillar Abscess	disease
8460	20	20	MSH	C01	   Infections	8460	C0343885	Chronic disseminated candidiasis	disease
12225	20	20	MSH	C01	   Infections	12225	C0847226	Viral keratitis	disease
1717	20	20	MSH	C01	   Infections	1717	C0023346	Borderline leprosy	disease
7451	20	20	MSH	C01	   Infections	7451	C0281779	Condyloma anal	disease
13109	20	20	MSH	C01	   Infections	13109	C1096582	Campylobacter jejuni infection	disease
10153	20	20	MSH	C01	   Infections	10153	C0518948	Chlamydia trachomatis infection	disease
3034	20	20	MSH	C01	   Infections	3034	C0040560	Toxoplasmosis, Congenital	disease
530	20	20	MSH	C01	   Infections	530	C0007930	Chagas Cardiomyopathy	disease
6601	20	20	MSH	C01	   Infections	6601	C0268821	Lower urinary tract infectious disease	group
2324	20	20	MSH	C01	   Infections	2324	C0030389	Parainfluenza	disease
7042	20	20	MSH	C01	   Infections	7042	C0276223	Recurrent herpes simplex	disease
24069	20	20	MSH	C01	   Infections	24069	C3854437	Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids	disease
3007	20	20	MSH	C01	   Infections	3007	C0040250	Tinea Capitis	disease
3821	20	20	MSH	C01	   Infections	3821	C0152936	Plague, Septicemic	disease
2693	20	20	MSH	C01	   Infections	2693	C0035613	Rift Valley Fever	disease
595	20	20	MSH	C01	   Infections	595	C0008698	Chronic maxillary sinusitis	disease
7099	20	20	MSH	C01	   Infections	7099	C0277150	Infection by Baylisascaris	phenotype
3725	20	20	MSH	C01	   Infections	3725	C0152068	Echinococcus granulosus infection	disease
3033	20	20	MSH	C01	   Infections	3033	C0040559	Toxoplasmosis, Animal	disease
2388	20	20	MSH	C01	   Infections	2388	C0031049	Pericarditis, Tuberculous	disease
2192	20	20	MSH	C01	   Infections	2192	C0028848	Ocular Larva Migrans	disease
13389	20	20	MSH	C01	   Infections	13389	C1262313	Invasive Fungal Infections	group
8860	20	20	MSH	C01	   Infections	8860	C0376329	New Variant Creutzfeldt-Jakob Disease	disease
2897	20	20	MSH	C01	   Infections	2897	C0038395	Streptococcal Infections	group
22212	20	20	MSH	C01	   Infections	22212	C3266863	Atypical Mycobacteriosis, Familial	disease
8466	20	20	MSH	C01	   Infections	8466	C0343972	Schistosomal splenomegaly	phenotype
8858	20	20	MSH	C01	   Infections	8858	C0376300	Dengue Shock Syndrome	disease
16905	20	20	MSH	C01	   Infections	16905	C1845073	INVASIVE PNEUMOCOCCAL DISEASE, RECURRENT ISOLATED, 2 (disorder)	disease
3062	20	20	MSH	C01	   Infections	3062	C0041234	Chagas Disease	disease
8420	20	20	MSH	C01	   Infections	8420	C0343386	Clostridium difficile infection	disease
11494	20	20	MSH	C01	   Infections	11494	C0750466	Yeast infection	disease
20770	20	20	MSH	C01	   Infections	20770	C2732890	Necrotizing soft tissue infection	disease
2046	20	20	MSH	C01	   Infections	2046	C0026919	Mycobacterium Infections, Nontuberculous	group
29724	20	20	MSH	C01	   Infections	29724	C4707262	Non-herpetic acute limbic encephalitis	disease
14810	20	20	MSH	C01	   Infections	14810	C1443237	Healthcare associated pneumonia	phenotype
24163	20	20	MSH	C01	   Infections	24163	C3887668	Infection by larvae of Trichinella spiralis	disease
10760	20	20	MSH	C01	   Infections	10760	C0585187	Infected ascites	disease
21622	20	20	MSH	C01	   Infections	21622	C2959467	Tuberculous pleural effusion	disease
1019	20	20	MSH	C01	   Infections	1019	C0015231	Exanthema Subitum	disease
11420	20	20	MSH	C01	   Infections	11420	C0747690	Postobstructive pneumonia	disease
12280	20	20	MSH	C01	   Infections	12280	C0851162	Infections of musculoskeletal system	group
10732	20	20	MSH	C01	   Infections	10732	C0581354	Recurrent sinusitis	disease
13033	20	20	MSH	C01	   Infections	13033	C0949056	Infection caused by Coxiella	disease
2378	20	20	MSH	C01	   Infections	2378	C0031019	Perianal abscess	disease
12568	20	20	MSH	C01	   Infections	12568	C0858004	Influenza A virus infection	disease
23335	20	20	MSH	C01	   Infections	23335	C3694279	Middle East Respiratory Syndrome	disease
1997	20	20	MSH	C01	   Infections	1997	C0026393	Molluscum Contagiosum	disease
91	20	20	MSH	C01	   Infections	91	C0001849	AIDS Dementia Complex	disease
1395	20	20	MSH	C01	   Infections	1395	C0019372	Herpesviridae Infections	group
13755	20	20	MSH	C01	   Infections	13755	C1290646	Acute apical abscess	disease
389	20	20	MSH	C01	   Infections	389	C0006105	Brain Abscess	disease
22139	20	20	MSH	C01	   Infections	22139	C3178957	Subcutaneous Phaeohyphomycosis	disease
3613	20	20	MSH	C01	   Infections	3613	C0151463	Abscess of breast	disease
7093	20	20	MSH	C01	   Infections	7093	C0276908	Infection by Pneumocystis jirovecii (disorder)	phenotype
8447	20	20	MSH	C01	   Infections	8447	C0343751	Asymptomatic human immunodeficiency virus infection	disease
11112	20	20	MSH	C01	   Infections	11112	C0702135	Primary atypical pneumonia	disease
24106	20	20	MSH	C01	   Infections	24106	C3874414	Human metapneumovirus infection	disease
15477	20	20	MSH	C01	   Infections	15477	C1719672	Severe Sepsis	disease
30011	20	20	MSH	C01	   Infections	30011	C4744849	Refractory Kaposi Sarcoma	disease
5825	20	20	MSH	C01	   Infections	5825	C0264478	Sequoiosis	disease
13281	20	20	MSH	C01	   Infections	13281	C1168198	Recurrent respiratory papillomatosis	disease
7056	20	20	MSH	C01	   Infections	7056	C0276357	Swine influenza	disease
7033	20	20	MSH	C01	   Infections	7033	C0276089	Pneumonia due to Escherichia coli	disease
691	20	20	MSH	C01	   Infections	691	C0010232	Cowpox	disease
1711	20	20	MSH	C01	   Infections	1711	C0023288	Infection by Leishmania braziliensis	disease
3692	20	20	MSH	C01	   Infections	3692	C0151874	Fungal infection of lung	group
1428	20	20	MSH	C01	   Infections	1428	C0020102	HTLV-II Infections	group
5806	20	20	MSH	C01	   Infections	5806	C0264222	Acute upper respiratory infection	disease
8179	20	20	MSH	C01	   Infections	8179	C0341599	Peristomal abscess	phenotype
1817	20	20	MSH	C01	   Infections	1817	C0024116	Lung Diseases, Fungal	group
12764	20	20	MSH	C01	   Infections	12764	C0877148	Pharyngotonsillitis	disease
7298	20	20	MSH	C01	   Infections	7298	C0279591	Adult Burkitt Leukemia	disease
3006	20	20	MSH	C01	   Infections	3006	C0040247	Tinea	disease
9974	20	20	MSH	C01	   Infections	9974	C0473119	Fecal peritonitis	disease
13120	20	20	MSH	C01	   Infections	13120	C1096721	Neonatal Late-Onset Sepsis	disease
2456	20	20	MSH	C01	   Infections	2456	C0032241	Pleuropneumonia	disease
8723	20	20	MSH	C01	   Infections	8723	C0348321	Hemophilus influenza infection	disease
22748	20	20	MSH	C01	   Infections	22748	C3495436	American cutaneous leishmaniasis	disease
1814	20	20	MSH	C01	   Infections	1814	C0024106	Lumpy Skin Disease	disease
20029	20	20	MSH	C01	   Infections	20029	C2314882	Reproductive tract infection	disease
1952	20	20	MSH	C01	   Infections	1952	C0025309	Meningoencephalitis	disease
3208	20	20	MSH	C01	   Infections	3208	C0043168	Whooping cough due to unspecified organism	disease
1953	20	20	MSH	C01	   Infections	1953	C0025310	Meningoencephalomyelitis	disease
3550	20	20	MSH	C01	   Infections	3550	C0149777	Abscess of skin AND/OR subcutaneous tissue	phenotype
2460	20	20	MSH	C01	   Infections	2460	C0032285	Pneumonia	disease
432	20	20	MSH	C01	   Infections	432	C0006840	Candidiasis	disease
7016	20	20	MSH	C01	   Infections	7016	C0275706	Infection due to Mycobacterium kansasii	disease
15314	20	20	MSH	C01	   Infections	15314	C1698398	Eosinophilic bronchitis	disease
13534	20	20	MSH	C01	   Infections	13534	C1269831	Infection due to resistant organism	group
26961	20	20	MSH	C01	   Infections	26961	C4039254	Chronic pneumonia	disease
8413	20	20	MSH	C01	   Infections	8413	C0343287	Thoracic discitis	disease
14100	20	20	MSH	C01	   Infections	14100	C1331548	Infection by Ascaris lumbricoides	disease
8904	20	20	MSH	C01	   Infections	8904	C0392163	Corneal erosion	disease
3512	20	20	MSH	C01	   Infections	3512	C0149517	Chronic tonsillitis	disease
15230	20	20	MSH	C01	   Infections	15230	C1609535	Invasive Candidiasis	disease
15308	20	20	MSH	C01	   Infections	15308	C1697878	BK virus nephropathy	disease
529	20	20	MSH	C01	   Infections	529	C0007894	Cestode Infections	group
13117	20	20	MSH	C01	   Infections	13117	C1096691	BK virus infection	disease
29624	20	20	MSH	C01	   Infections	29624	C4703487	Disseminated cryptosporidium infection	disease
8455	20	20	MSH	C01	   Infections	8455	C0343806	Herpetosoma Infection	disease
3347	20	20	MSH	C01	   Infections	3347	C0085407	Microsporidiosis	disease
27935	20	20	MSH	C01	   Infections	27935	C4302250	Dengue with warning signs	disease
8458	20	20	MSH	C01	   Infections	8458	C0343863	Candida infection of genital region	group
1579	20	20	MSH	C01	   Infections	1579	C0021400	Influenza	disease
7039	20	20	MSH	C01	   Infections	7039	C0276168	Egg drop syndrome	disease
3835	20	20	MSH	C01	   Infections	3835	C0153261	Histoplasma capsulatum Infection	group
10872	20	20	MSH	C01	   Infections	10872	C0600123	Acute hematogenous osteomyelitis	disease
8423	20	20	MSH	C01	   Infections	8423	C0343401	MRSA - Methicillin resistant Staphylococcus aureus infection	disease
9339	20	20	MSH	C01	   Infections	9339	C0409543	Pyogenic arthritis of hip	disease
6323	20	20	MSH	C01	   Infections	6323	C0267924	Suppurative cholangitis	disease
3431	20	20	MSH	C01	   Infections	3431	C0085740	Mendelson Syndrome	disease
3820	20	20	MSH	C01	   Infections	3820	C0152915	Acute miliary tuberculosis	disease
966	20	20	MSH	C01	   Infections	966	C0014493	Epidemic keratoconjunctivitis	disease
3046	20	20	MSH	C01	   Infections	3046	C0040896	Trichinellosis	disease
11801	20	20	MSH	C01	   Infections	11801	C0751584	West Nile Fever Meningitis	disease
436	20	20	MSH	C01	   Infections	436	C0006849	Oral candidiasis	disease
4123	20	20	MSH	C01	   Infections	4123	C0157846	Unspecified infective arthritis involving hand	disease
14870	20	20	MSH	C01	   Infections	14870	C1456687	Polio and Post-Polio Syndrome	disease
5614	20	20	MSH	C01	   Infections	5614	C0243001	Abdominal Abscess	disease
26976	20	20	MSH	C01	   Infections	26976	C4041147	Acute exacerbation of chronic obstructive bronchitis	disease
3822	20	20	MSH	C01	   Infections	3822	C0152964	Streptococcal sepsis	disease
3080	20	20	MSH	C01	   Infections	3080	C0041330	Tuberculosis, Spinal	disease
2045	20	20	MSH	C01	   Infections	2045	C0026918	Mycobacterium Infections	group
597	20	20	MSH	C01	   Infections	597	C0008707	Chronic osteomyelitis	disease
139	20	20	MSH	C01	   Infections	139	C0002797	Bovine Anaplasmosis	disease
680	20	20	MSH	C01	   Infections	680	C0010043	Corneal Ulcer	disease
8381	20	20	MSH	C01	   Infections	8381	C0342957	Postoperative septic shock	phenotype
